Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude,google_place_id,google_formatted_address,google_lat,google_lng,google_types,match_method,status_website_http,outdated_score,outdated_flag,outdated_reason
Asian Fusion,"3393 Yonge Street
Toronto, ON M4N 2M8",Cravings Asian Cuisine,(416) 322-2200,$11-30,cravingstoronto.ca,https://www.yelp.ca/biz/cravings-asian-cuisine-toronto,43.732495,-79.403787,ChIJEZgoF-oyK4gRdtq597MQ5tk,"3393 Yonge St, North York, ON M4N 2M8",43.7324862,-79.4038843,"asian_restaurant,restaurant,food,point_of_interest,establishment",ids_only+essentials,dns_error,60.0,review,Website: dns_error
Asian Fusion,"4750 Yonge St
Unit 133
Toronto, ON M2N 5M6",Holy Snack,(647) 351-6678,Under $10,holysnack.ca,https://www.yelp.ca/biz/holy-snack-toronto,43.759988,-79.412225,ChIJO2hMbmMtK4gRQG__elsjhms,"4750 Yonge St #133, North York, ON M2N 5M6",43.7600716,-79.4120897,"asian_restaurant,restaurant,food,point_of_interest,establishment",ids_only+essentials,dns_error,60.0,review,Website: dns_error
Asian Fusion,"455 King Street W
Toronto, ON M5V 1K4",Fring’s,(416) 979-9696,Above $61,fringsrestaurant.com,https://www.yelp.ca/biz/frings-toronto,43.645001,-79.396023,ChIJEWcDQ9k0K4gRrz6YxZSJJDw,"455 King St W, Toronto, ON M5V 1K4",43.6450717,-79.3960596,"restaurant,food,point_of_interest,establishment",ids_only+essentials,error,30.0,review,Website: HTTP error
Asian Fusion,"1279 Queen Street W
Toronto, ON M6K 1L6",Miss Things,(416) 516-8677,$31-60,missthings.com,https://www.yelp.ca/biz/miss-things-toronto,43.64146,-79.431879,ChIJFbwEIm01K4gRoD3iCKlwkwg,"1279 Queen St W, Toronto, ON M6K 1L6",43.6413574,-79.4318185,"event_venue,point_of_interest,establishment",ids_only+essentials,error,30.0,review,Website: HTTP error
Asian Fusion,"399 Yonge Street
Toronto, ON M5B",Banh Mi Boys,(416) 977-0303,Under $10,banhmiboys.com,https://www.yelp.ca/biz/banh-mi-boys-toronto-2,43.659097,-79.382078,ChIJyRlRaLU0K4gRatGG_keAqsM,"329 Yonge St, Toronto, ON M5B 1R7",43.6570274,-79.3809984,"sandwich_shop,fast_food_restaurant,meal_takeaway,restaurant,food,point_of_interest,establishment",ids_only+essentials,error,30.0,review,Website: HTTP error
Asian Fusion,"106 Mutual Street
Unit 8
Toronto, ON M5B 2R7",Page One,(416) 663-4920,$11-30,pageonecafe.com,https://www.yelp.ca/adredir?ad_business_id=HkPnai4LMRjAYZkZ2AQLkA&campaign_id=Qb13Bj2ayPlzwEJcDuNI7Q&click_origin=search_results&placement=below_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fpage-one-toronto-5&request_id=5c03374594a41b22&signature=d54ad29f4163ebfdadc2f19a776cc85fba470558a55749e7ca4f97e37fff5beb&slot=0,43.657853,-79.376254,ChIJn1e27DXL1IkReA60T93m2Fw,"106 Mutual St Unit #8, Toronto, ON M5B 2R7",43.65792,-79.3762526,"coffee_shop,internet_cafe,cafe,bar,food_store,event_venue,store,food,point_of_interest,establishment",ids_only+essentials,timeout,60.0,review,Website: timeout
Asian Fusion,"304 Richmond Street W
Toronto, ON M5V 3M6",Thoroughbred Food & Drink,(416) 551-9221,$31-60,tbto.ca,https://www.yelp.ca/adredir?ad_business_id=-Q5b2LGivWP_ZBwSovGCRQ&campaign_id=J5FZvLY3wo48320vDgMyog&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fthoroughbred-food-and-drink-toronto&request_id=5bb990d3ad0937d5&signature=f97ee83c6e398ca0f8efb39bc2c607d2d1335a2eecca0de43579e0cc2775cad6&slot=1,43.648949,-79.391628,ChIJ-bfroNo0K4gRfGu2AXT1n40,"304 Richmond St W, Toronto, ON M5V 1X2",43.6490165,-79.3917135,"restaurant,food,point_of_interest,establishment",ids_only+essentials,redirect,0.0,ok,Healthy signals
Asian Fusion,"1600 Queen Street W
Toronto, ON M6R 1A8",Shangrila Tibetan & Asian Cuisine,(416) 588-1100,$11-30,,https://www.yelp.ca/biz/shangrila-tibetan-and-asian-cuisine-toronto-2,43.63974,-79.441544,ChIJHRWARbE1K4gR70vFqrnAFTk,"1600 Queen St W, Toronto, ON M6R 1A8",43.6398093,-79.4415954,"asian_restaurant,restaurant,point_of_interest,food,establishment",ids_only+essentials,no_url,15.0,ok,No website provided
Asian Fusion,"3850 Sheppard Avenue E
Unit 225
Toronto, ON M1T 3L4",Asian Fusion,(416) 298-6655,Under $10,asianfusionto.ca,https://www.yelp.ca/biz/asian-fusion-toronto,43.784352,-79.29219,ChIJuzpuHtXT1IkRSiwdSG2N5T8,"3850 Sheppard Ave E Unit 225, Scarborough, ON M1T 3L4",43.7843644,-79.2929238,"chinese_restaurant,asian_restaurant,meal_takeaway,restaurant,point_of_interest,food,establishment",ids_only+essentials,redirect,0.0,ok,Healthy signals
Asian Fusion,"2655 Yonge St
Toronto, ON M4P 2J6",The Captain’s Boil,(416) 485-2655,,thecaptainsboil.com,https://www.yelp.ca/biz/the-captains-boil-toronto-14,43.715829,-79.400095,ChIJgXNoXyAzK4gRJNPWL1TX0nY,"2655 Yonge St, Toronto, ON M4P 2J6",43.7158333,-79.4,"seafood_restaurant,restaurant,food,point_of_interest,establishment",ids_only+essentials,redirect,0.0,ok,Healthy signals
Asian Fusion,"164 Ossington Avenue
Toronto, ON M6J 2Z7",Hawker Bar,(647) 343-4698,$11-30,hawkerbar.com,https://www.yelp.ca/biz/hawker-bar-toronto,43.648281,-79.420383,ChIJVXEwrf40K4gRqyj8H_4rqjA,"164 Ossington Ave, Toronto, ON M6J 2Z7",43.6479263,-79.4203798,"restaurant,point_of_interest,food,establishment",ids_only+essentials,ok,0.0,ok,Healthy signals
Asian Fusion,"354 King Street E
Corktown
Toronto, ON M5A 1K9",The Corktown Kitchen,(416) 901-1188,$11-30,corktownkitchen.com,https://www.yelp.ca/biz/the-corktown-kitchen-toronto,43.653248,-79.362348,ChIJ8RWmwD7L1IkRNTguK9F0LAA,"354 King St E, Toronto, ON M5A 1K9",43.653449,-79.3622397,"restaurant,food,point_of_interest,establishment",ids_only+essentials,dns_error,60.0,review,Website: dns_error
Asian Fusion,"121 King Street W
Toronto, ON M5H 3T9",Ho Ga Oriental Cuisine,(416) 368-5555,Under $10,,https://www.yelp.ca/biz/ho-ga-oriental-cuisine-toronto,43.647683,-79.383013,ChIJKRz299I0K4gRB2tMVG2FbAg,"121 King St W, Toronto, ON M5H 3X7",43.6476825,-79.3830131,"korean_restaurant,restaurant,food,point_of_interest,establishment",ids_only+essentials,no_url,15.0,ok,No website provided
Asian Fusion,"499 King Street W
Toronto, ON M5K 1K4",Spice Route Asian Bistro + Bar,(416) 849-1808,$31-60,spiceroute.ca,https://www.yelp.ca/biz/spice-route-asian-bistro-bar-toronto,43.644964,-79.397434,ChIJO7V-s940K4gRzKW26txZlyU,"499 King St W, Toronto, ON M5V 1K4",43.6449224,-79.3975758,"night_club,bar,point_of_interest,establishment",ids_only+essentials,redirect,0.0,ok,Healthy signals
Asian Fusion,"699 Bloor Street W
Toronto, ON M6G 1L5",The Korean Kitchen,(647) 629-7117,$11-30,,https://www.yelp.ca/biz/the-korean-kitchen-toronto,43.663678,-79.417441,ChIJwefi5Iw0K4gR0ZFtjepxkQQ,"699 Bloor St W, Toronto, ON M6G 1L5",43.6636218,-79.4174547,"korean_restaurant,bar,restaurant,point_of_interest,food,establishment",ids_only+essentials,no_url,15.0,ok,No website provided
Asian Fusion,"123 Queen St W
Toronto, ON M5H 2N2",Fusion Grill,,Under $10,,https://www.yelp.ca/biz/fusion-grill-toronto,43.651177,-79.38418,ChIJPcLSu800K4gRgnsZ0O5UWTY,"123 Queen St W, Toronto, ON M5H 3M9",43.6511726,-79.3842596,"japanese_restaurant,restaurant,food,point_of_interest,establishment",ids_only+essentials,no_url,15.0,ok,No website provided
