Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude,google_place_id,google_formatted_address,google_lat,google_lng,google_types,match_method,status_website_http,outdated_score,outdated_flag,outdated_reason
Burgers,"123 Queen Street W
Toronto, ON M5H 3M9",Burgers N Bistro,(416) 361-6363,,bnbtoronto.com,https://www.yelp.ca/biz/burgers-n-bistro-toronto,43.651181,-79.384465,ChIJ0yOn6EE1K4gRpBkBguql0tc,"960 Queen St W, Toronto, ON M6J 1G8",43.6447384,-79.4170555,"restaurant,food,point_of_interest,establishment",ids_only+essentials,dns_error,60,review,Website: dns_error
Burgers,"2344 Dufferin Street
Toronto, ON M6E 3S4",Paradise Pizza & Burgers,(416) 256-4343,,,https://www.yelp.ca/biz/paradise-pizza-and-burgers-toronto,43.695133,-79.450146,ChIJdzqkD-0zK4gRDuu9Wn6y85w,"2344 Dufferin St, Toronto, ON M6E 3S4",43.6951393,-79.4501579,"hamburger_restaurant,american_restaurant,meal_takeaway,store,restaurant,food,point_of_interest,establishment",ids_only+essentials,no_url,15,ok,No website provided
Burgers,"399 Dawes Road
Toronto, ON M4B 2E6",Duffy’s Drive-In Restaurant,(416) 456-5015,,,https://www.yelp.ca/biz/duffys-drive-in-restaurant-toronto,43.70216,-79.296804,ChIJd05Xoy7M1IkRv6hUQXLHmzk,"399 Dawes Rd, East York, ON M4B 2E6",43.7021657,-79.2966862,"bar_and_grill,bar,american_restaurant,restaurant,food,point_of_interest,establishment",ids_only+essentials,no_url,15,ok,No website provided
Burgers,"15B Finch Avenue W
Toronto, ON M2N 7K4",Cook’s Express Fine Food Mart,(416) 226-2324,,cooksburger.com,https://www.yelp.ca/biz/cooks-express-fine-food-mart-toronto,43.779188,-79.416943,ChIJCe2qSgwtK4gR5yEte-54HsY,"15 Finch Ave W, North York, ON M2N 7K4",43.7791978,-79.4170573,"korean_restaurant,restaurant,food,point_of_interest,establishment",ids_only+essentials,redirect,0,ok,Healthy signals
Burgers,"636 Queen Street E
Toronto, ON M4M 1G3",Speedy Burger,(416) 461-5455,,,https://www.yelp.ca/biz/speedy-burger-toronto,43.658432,-79.352595,ChIJu-xmwibL1IkRZeoaKFUDyXs,"739 Queen St E, Toronto, ON M4M 1H4",43.6590346,-79.3484282,"restaurant,hamburger_restaurant,fast_food_restaurant,american_restaurant,food,point_of_interest,establishment",ids_only+essentials,no_url,15,ok,No website provided
Burgers,"4700 Keele St.
Unit 10, York Lanes
Toronto, ON M3J 1P3",Hero Certified Burgers - York University,(416) 650-8286,$11-30,heroburgers.com,https://www.yelp.ca/biz/hero-certified-burgers-york-university-toronto,43.774229,-79.498422,ChIJvXbSEVYvK4gR6BBo5Ljrj4Q,"10 Vanier Ln, North York, ON M3J 1P3",43.7744793,-79.5018116,"fast_food_restaurant,restaurant,point_of_interest,food,establishment",ids_only+essentials,ok,0,ok,Healthy signals
Burgers,"3210 Danforth Avenue
Toronto, ON M1L 1C1",Ko Burgers,(416) 465-8646,,koburgers.com,https://www.yelp.ca/biz/ko-burgers-toronto,43.692538,-79.283006,ChIJrczEzmfP1IkRyXaca475Euc,"3210 Danforth Ave, Toronto, ON M1L 1C1",43.6925494,-79.2830817,"restaurant,point_of_interest,food,establishment",ids_only+essentials,redirect,0,ok,Healthy signals
Burgers,"2836 Lake Shore Boulevard W
Toronto, ON M8V 2Y6",Passion Grill,(647) 748-7774,$11-30,,https://www.yelp.ca/biz/passion-grill-toronto,43.601685,-79.501768,ChIJG0gNWh42K4gRhX8GwestExY,"2454 Lake Shore Blvd W, Toronto, ON M8V 1C9",43.6136061,-79.4897531,"restaurant,diner,greek_restaurant,breakfast_restaurant,food,point_of_interest,establishment",ids_only+essentials,no_url,15,ok,No website provided
Burgers,"445 Danforth Avenue
Toronto, ON M4K 1P2",Messini Authentic Gyros,(416) 778-4861,$11-30,messini.ca,https://www.yelp.ca/biz/messini-authentic-gyros-toronto,43.677691,-79.350536,ChIJc9NGRpzM1IkRGYofD53alLo,"445 Danforth Ave, Toronto, ON M4K 1P2",43.6776078,-79.3505000,"greek_restaurant,sandwich_shop,restaurant,food,point_of_interest,establishment",ids_only+essentials,redirect,0,ok,Healthy signals
Burgers,"250 Adelaide Street W
Toronto, ON M5H 1X6",Dublin Calling,(416) 344-1234,$31-60,dublincallingto.com,https://www.yelp.ca/biz/dublin-calling-toronto,43.648213,-79.389095,ChIJa4Z08THL1IkR6GxRWzGrMRg,"250 Adelaide St W Second Floor, Toronto, ON M5H 1X6",43.6482429,-79.3890608,"pub,bar,restaurant,food,point_of_interest,establishment",ids_only+essentials,ok,0,ok,Healthy signals
