Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude,google_place_id,google_formatted_address,google_lat,google_lng,google_types,match_method,status_website_http,outdated_score,outdated_flag,outdated_reason
Chinese,"1017 Dufferin Street
Toronto, ON M6H 4B5",Kengle Take Out,(416) 516-4451,,,https://www.yelp.ca/biz/kengle-take-out-toronto,43.66034,-79.435344,ChIJMfpHwFw0K4gRQxAFyOTRa2Y,"1017 Dufferin St, Toronto, ON M6H 4B5",43.6603414,-79.4353401,"coffee_shop,mexican_restaurant,cafe,dessert_shop,confectionery,bakery,food_store,store,restaurant,food,point_of_interest,establishment",ids_only+essentials,no_url,15,ok,No website provided
Chinese,"23 Glen Watford Drive
Suite 9
Toronto, ON M1S 2B7",Global Imperial Cuisine,(416) 396-3766,$11-30,,https://www.yelp.ca/biz/global-imperial-cuisine-toronto,43.786874,-79.27393,ChIJdTjZQnHR1IkRJj-JKKDyGf4,"23 Glen Watford Dr, Scarborough, ON M1S 2B7",43.7869569,-79.2748210,"shopping_mall,point_of_interest,establishment",ids_only+essentials,no_url,15,ok,No website provided
Chinese,"200 Front Street W
Toronto, ON M5V 3K2",Ti-Ki Ming,,,,https://www.yelp.ca/biz/ti-ki-ming-toronto,43.644991,-79.385865,ChIJ77_OwXk1K4gRYTCiCZmUk8s,"486 Front St W, Toronto, ON M5V 0V2",43.6425274,-79.3961639,"restaurant,food,point_of_interest,establishment",ids_only+essentials,no_url,15,ok,No website provided
Chinese,"60 Brian Harrison Way
Unit 102
Toronto, ON M1P 5J5",Chill Station,(647) 628-9917,,chill-station.business.site,https://www.yelp.ca/biz/chill-station-toronto-2,43.774037,-79.257552,ChIJ__9v6aXR1IkRUTqD8g1AmHo,"60 Brian Harrison Way, Toronto, ON M1P",43.7740030,-79.2575808,"condominium_complex,point_of_interest,establishment",ids_only+essentials,error,30,review,Website: HTTP error
Chinese,"Commerce Court
199 Bay Street
Toronto, ON M5L 1G9",China Wok,,Under $10,,https://www.yelp.ca/biz/china-wok-toronto,43.647946,-79.379319,ChIJL_a_TS3L1IkRoqpJV5akXhg,"199 Bay St., Toronto, ON M5L 1L5",43.6484392,-79.3793679,"chinese_restaurant,restaurant,food,point_of_interest,establishment",ids_only+essentials,no_url,15,ok,No website provided
Chinese,"633 Silver Star Boulevard .
Unit 125
Toronto, ON M1V 5N1",Deer Garden Signatures,(416) 609-2888,$11-30,deergarden.ca,https://www.yelp.ca/biz/deer-garden-signatures-toronto,43.822058,-79.298592,ChIJGzc0dgfU1IkR0Fqs4AkNBvQ,"633 Silver Star Blvd #125, Scarborough, ON M1V 5N1",43.8215325,-79.2987202,"chinese_restaurant,restaurant,food,point_of_interest,establishment",ids_only+essentials,redirect,0,ok,Healthy signals
Chinese,"4186 Finch Ave East
Unit 20
Toronto, ON M1S 5C2",Chicken King,(416) 298-3889,Under $10,,https://www.yelp.ca/biz/chicken-king-toronto,43.803388,-79.287853,ChIJu6GlA1_R1IkRd1Diwit-SMk,"4186 Finch Ave E #20, Scarborough, ON M1S 3V1",43.8042369,-79.2884468,"meal_takeaway,restaurant,food,point_of_interest,establishment",ids_only+essentials,no_url,15,ok,No website provided
Chinese,"5437 Yonge St
Toronto, ON M2N",Meet You Leisure Restaurant,,,,https://www.yelp.ca/biz/meet-you-leisure-restaurant-toronto-2,43.776598,-79.414742,ChIJq6paYQ0tK4gRP2yzmpOeTxk,"5437 Yonge St, Toronto, ON M2H 3N3",43.7768456,-79.4144311,"point_of_interest,establishment",ids_only+essentials,no_url,15,ok,No website provided
Chinese,"5633 Finch Avenue E
Toronto, ON M1B 5K9",Lucky Lin’s Restaurant,(416) 298-1388,Under $10,luckylins.ca,https://www.yelp.ca/biz/lucky-lins-restaurant-toronto-2,43.813743,-79.238056,ChIJY_g4bdPQ1IkR5shnKgO_X_c,"5633 Finch Ave E, Scarborough, ON M1B 5K9",43.8137598,-79.2380223,"restaurant,chinese_restaurant,point_of_interest,food,establishment",ids_only+essentials,ok,0,ok,Healthy signals
Chinese,"633 Silver Star Boulevard
Unit F1
Toronto, ON M1V 5N1",Pot Rice & Rolls House,(416) 293-6328,,,https://www.yelp.ca/biz/pot-rice-and-rolls-house-toronto,43.81043,-79.293388,ChIJGzc0dgfU1IkRsSU_IHdCtZs,"633 Silver Star Blvd, Scarborough, ON M1V 5N1",43.8216729,-79.2982808,"chinese_restaurant,restaurant,food,point_of_interest,establishment",ids_only+essentials,no_url,15,ok,No website provided
