Category,Restaurant Name,Price_Range_Int,google_place_id,google_formatted_address,google_lat,google_lng,google_types
Asian Fusion,Cravings Asian Cuisine,2,ChIJEZgoF-oyK4gRdtq597MQ5tk,"3393 Yonge St, North York, ON M4N 2M8",43.7324862,-79.4038843,"asian_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Holy Snack,1,ChIJO2hMbmMtK4gRQG__elsjhms,"4750 Yonge St #133, North York, ON M2N 5M6",43.7600716,-79.4120897,"asian_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Fring’s,4,ChIJEWcDQ9k0K4gRrz6YxZSJJDw,"455 King St W, Toronto, ON M5V 1K4",43.6450717,-79.3960596,"restaurant,food,point_of_interest,establishment"
Asian Fusion,Miss Things,3,ChIJFbwEIm01K4gRoD3iCKlwkwg,"1279 Queen St W, Toronto, ON M6K 1L6",43.6413574,-79.4318185,"event_venue,point_of_interest,establishment"
Asian Fusion,Banh Mi Boys,1,ChIJyRlRaLU0K4gRatGG_keAqsM,"329 Yonge St, Toronto, ON M5B 1R7",43.6570274,-79.3809984,"sandwich_shop,fast_food_restaurant,meal_takeaway,restaurant,food,point_of_interest,establishment"
Asian Fusion,Page One,2,ChIJn1e27DXL1IkReA60T93m2Fw,"106 Mutual St Unit #8, Toronto, ON M5B 2R7",43.65792,-79.3762526,"coffee_shop,internet_cafe,cafe,bar,food_store,event_venue,store,food,point_of_interest,establishment"
Asian Fusion,Thoroughbred Food & Drink,3,ChIJ-bfroNo0K4gRfGu2AXT1n40,"304 Richmond St W, Toronto, ON M5V 1X2",43.6490165,-79.3917135,"restaurant,food,point_of_interest,establishment"
Asian Fusion,Shangrila Tibetan & Asian Cuisine,2,ChIJHRWARbE1K4gR70vFqrnAFTk,"1600 Queen St W, Toronto, ON M6R 1A8",43.6398093,-79.4415954,"asian_restaurant,restaurant,point_of_interest,food,establishment"
Asian Fusion,Asian Fusion,1,ChIJuzpuHtXT1IkRSiwdSG2N5T8,"3850 Sheppard Ave E Unit 225, Scarborough, ON M1T 3L4",43.7843644,-79.2929238,"chinese_restaurant,asian_restaurant,meal_takeaway,restaurant,point_of_interest,food,establishment"
Asian Fusion,The Captain’s Boil,,ChIJgXNoXyAzK4gRJNPWL1TX0nY,"2655 Yonge St, Toronto, ON M4P 2J6",43.7158333,-79.4,"seafood_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Hawker Bar,2,ChIJVXEwrf40K4gRqyj8H_4rqjA,"164 Ossington Ave, Toronto, ON M6J 2Z7",43.6479263,-79.4203798,"restaurant,point_of_interest,food,establishment"
Asian Fusion,The Corktown Kitchen,2,ChIJ8RWmwD7L1IkRNTguK9F0LAA,"354 King St E, Toronto, ON M5A 1K9",43.653449,-79.3622397,"restaurant,food,point_of_interest,establishment"
Asian Fusion,Ho Ga Oriental Cuisine,1,ChIJKRz299I0K4gRB2tMVG2FbAg,"121 King St W, Toronto, ON M5H 3X7",43.6476825,-79.3830131,"korean_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Spice Route Asian Bistro + Bar,3,ChIJO7V-s940K4gRzKW26txZlyU,"499 King St W, Toronto, ON M5V 1K4",43.6449224,-79.3975758,"night_club,bar,point_of_interest,establishment"
Asian Fusion,The Korean Kitchen,2,ChIJwefi5Iw0K4gR0ZFtjepxkQQ,"699 Bloor St W, Toronto, ON M6G 1L5",43.6636218,-79.4174547,"korean_restaurant,bar,restaurant,point_of_interest,food,establishment"
Asian Fusion,Fusion Grill,1,ChIJPcLSu800K4gRgnsZ0O5UWTY,"123 Queen St W, Toronto, ON M5H 3M9",43.6511726,-79.3842596,"japanese_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Alan’s Filipino Restaurant,1,ChIJZTpMlOTR1IkRCngCCUEab4o,"2300 Lawrence Ave E, Scarborough, ON M1P 2K9",43.7504681,-79.2755212,"restaurant,food,point_of_interest,establishment"
Asian Fusion,Sweet Lulu,2,ChIJEz6gYu41K4gRdYIxUHflgcY,"696 Queen St W, Toronto, ON M6J 1E7",43.646467,-79.4082308,"asian_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Los Vietnamita Taqueria Shop,,ChIJt8WfTprN1IkRBknZrGFtOf4,"2644 St Clair Ave E, York, ON M4B 3M1",43.7054327,-79.3136258,"restaurant,food,point_of_interest,establishment"
Asian Fusion,James Cheese Back Ribs,2,ChIJEXtpEsE0K4gRSJLzN-MPEt8,"409 Spadina Ave., Toronto, ON M5T 2G6",43.6568829,-79.3992366,"restaurant,food,point_of_interest,establishment"
Asian Fusion,Guest House Chinese,1,ChIJqUgxMfPM1IkRIpAPNgcosZg,"348 Donlands Ave, East York, ON M4J 3S1",43.693261,-79.3427619,"chinese_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Maki My Way,2,ChIJDxDi6tA0K4gRcKCHInmVWL0,"293 King St W, Toronto, ON M5V 1J5",43.646368,-79.3900349,"japanese_restaurant,bar_and_grill,meal_takeaway,sushi_restaurant,bar,restaurant,food,point_of_interest,establishment"
