Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude,City
Afghan,"62 Overlea Boulevard
East York, ON M4H 1C4",Bamiyan Kabob,(416) 429-7514,$11-30,bamiyankabob.com,https://www.yelp.ca/biz/bamiyan-kabob-east-york,43.707861,-79.343364,East York
African,"375 Donlands Avenue
East York, ON M4J 3S2",Simba Grill,(416) 429-6057,$11-30,simbagrill.ca,https://www.yelp.ca/biz/simba-grill-east-york,43.693387,-79.342265,East York
African,"429 Donlands Ave
East York, ON M4J 3S2",Talk of the Town Restaurant & Bar,(416) 429-8255,,,https://www.yelp.ca/biz/talk-of-the-town-restaurant-and-bar-east-york,43.694666,-79.342895,East York
American (Traditional),"1239 Woodbine Avenue
East York, ON M4C 4E5",The Rib House Restaurant,(416) 424-2232,$11-30,,https://www.yelp.ca/biz/the-rib-house-restaurant-east-york,43.693203,-79.315853,East York
American (Traditional),"302 O'connor Drive
East York, ON M4J 2T8",The Wally Tap & Grill,(416) 425-6136,Under $10,,https://www.yelp.ca/biz/the-wally-tap-and-grill-east-york,43.694726,-79.343373,East York
Asian Fusion,"1677 Bayview Avenue
East York, ON M4G 3C1",Riz Restaurant On Bayview,(416) 487-8388,$11-30,rizonbayview.com,https://www.yelp.ca/biz/riz-restaurant-on-bayview-east-york,43.707598,-79.375618,East York
Asian Fusion,"1575 Avenue Bayview
East York, ON M4G 3B5",Chai,(416) 483-9512,,,https://www.yelp.ca/biz/chai-east-york,43.705794,-79.374923,East York
Bangladeshi,"2994 Danforth Avenue
East York, ON M4C 1M7",Gharoa Restaurant,(416) 694-8720,Under $10,,https://www.yelp.ca/biz/gharoa-restaurant-east-york,43.690545,-79.291429,East York
Barbeque,"1239 Woodbine Avenue
East York, ON M4C 4E5",The Rib House Restaurant,(416) 424-2232,$11-30,,https://www.yelp.ca/biz/the-rib-house-restaurant-east-york,43.693203,-79.315853,East York
Breakfast & Brunch,"405 Donlands Avenue
East York, ON M4J 3S2",Select Bakery,(416) 421-2400,$11-30,selectbakery.ca,https://www.yelp.ca/adredir?ad_business_id=09OYbFNrS1n8u5gE6W9ItA&campaign_id=zqjYBES0qoedpZZdzbajhQ&click_origin=search_results&placement=below_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fselect-bakery-east-york&request_id=dbd48738bc96b268&signature=90f65ed88365a023c2e5d99da1b8259e8b7cef2b335f7046a5d3ee0111bbb377&slot=0,43.69411,-79.342661,East York
Breakfast & Brunch,"417 Donlands Avenue
East York, ON M4J 3S2",Donlands Restaurant,(416) 421-8500,Under $10,donlandsdiner.com,https://www.yelp.ca/biz/donlands-restaurant-east-york,43.694384,-79.342772,East York
Breakfast & Brunch,"549 Sammon Avenue
East York, ON M4J 2B3",Last Drop Cafe,(416) 463-4646,Under $10,lastdrop.ca,https://www.yelp.ca/biz/last-drop-cafe-east-york,43.688755,-79.326064,East York
Breakfast & Brunch,"146 Laird Drive
East York, ON M4G 3V7",Golden Griddle Restaurant,(416) 429-6422,$11-30,goldengriddlecorp.com,https://www.yelp.ca/biz/golden-griddle-restaurant-east-york,43.708836,-79.363062,East York
Breakfast & Brunch,"1416 Victoria Park Avenue
East York, ON M4A 2M1",Sunrise Bar & Grill,(416) 752-6446,,sunrisebarandrestaurant.com,https://www.yelp.ca/biz/sunrise-bar-and-grill-east-york,43.71994,-79.300964,East York
Breakfast & Brunch,"1500 O'connor Drive
East York, ON M4B 2T8",Tim Hortons,(416) 750-9883,Under $10,timhortons.com/ca/en,https://www.yelp.ca/biz/tim-hortons-east-york,43.714301,-79.307221,East York
British,"96 Laird Drive
East York, ON M4G 3V3",The Olde Yorke Fish & Chips,(416) 696-9670,$11-30,oldeyorkefishandchips.com,https://www.yelp.ca/biz/the-olde-yorke-fish-and-chips-east-york,43.706109,-79.361876,East York
Burgers,"45 Wicksteed Ave
East York, ON M4G 4H9",South St. Burger Co.,(416) 421-8559,Under $10,southstburger.com,https://www.yelp.ca/biz/south-st-burger-co-east-york-2,43.710352,-79.362483,East York
Burgers,"903 Coxwell Avenue
East York, ON M4C 3G1",Diamond Corner,(416) 425-2240,Under $10,diamondcorner.ca,https://www.yelp.ca/biz/diamond-corner-east-york-2,43.694063,-79.327738,East York
Burgers,"62 Laird Drive
East York, ON M4G 3V1",Burger Flame Foods,(416) 421-7450,,,https://www.yelp.ca/biz/burger-flame-foods-east-york,43.704704,-79.361545,East York
Burgers,"26 Overlea Blvd
East York, ON M4H 1A4",Wendy’s,(416) 467-1600,Under $10,,https://www.yelp.ca/biz/wendys-east-york,43.705059,-79.349901,East York
Cafes,"405 Donlands Avenue
East York, ON M4J 3S2",Select Bakery,(416) 421-2400,$11-30,selectbakery.ca,https://www.yelp.ca/adredir?ad_business_id=09OYbFNrS1n8u5gE6W9ItA&campaign_id=zqjYBES0qoedpZZdzbajhQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fselect-bakery-east-york&request_id=7ee40eda1a15ec27&signature=5d80a9b0d648af283b7626140d7f8f197eee4306a97dc56833a45a1869cf84fb&slot=1,43.69411,-79.342661,East York
Cafes,"405 Donlands Avenue
East York, ON M4J 3S2",Select Bakery,(416) 421-2400,$11-30,selectbakery.ca,https://www.yelp.ca/adredir?ad_business_id=09OYbFNrS1n8u5gE6W9ItA&campaign_id=zqjYBES0qoedpZZdzbajhQ&click_origin=search_results&placement=below_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fselect-bakery-east-york&request_id=094cf070440428c4&signature=fe93bde8863321d86dd1c790e0044dfe0c369c453aff785992e0c34c1a70a7de&slot=0,43.69411,-79.342661,East York
Cafes,"405 Donlands Avenue
East York, ON M4J 3S2",Select Bakery,(416) 421-2400,$11-30,selectbakery.ca,https://www.yelp.ca/adredir?ad_business_id=09OYbFNrS1n8u5gE6W9ItA&campaign_id=zqjYBES0qoedpZZdzbajhQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fselect-bakery-east-york&request_id=b4c9097bc86ffc3a&signature=7858a75ecd24ebeeb3400f10a03cee220c426a556efa4f8b04cd60cc3151b4ba&slot=0,43.69411,-79.342661,East York
Cafes,"405 Donlands Avenue
East York, ON M4J 3S2",Select Bakery,(416) 421-2400,$11-30,selectbakery.ca,https://www.yelp.ca/adredir?ad_business_id=09OYbFNrS1n8u5gE6W9ItA&campaign_id=zqjYBES0qoedpZZdzbajhQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fselect-bakery-east-york&request_id=68be872b757b5893&signature=5af3aab3f416734264ca1823ff8d847e5a7b7724d777483df0098e54c33f04db&slot=1,43.69411,-79.342661,East York
Cafes,"958 Broadview Avenue
East York, ON M4K 2R6",Estonian House Cafe,(416) 565-4876,Under $10,,https://www.yelp.ca/biz/estonian-house-cafe-east-york,43.681821,-79.358089,East York
