Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude,City
African,"235 Dixon Road
Etobicoke, ON M9P 2M5",Istar Restaurant,(416) 247-5624,$11-30,istarrestaurant.com,https://www.yelp.ca/biz/istar-restaurant-etobicoke,43.697632,-79.544214,Etobicoke
African,"10 Belfield Road
Etobicoke, ON M9W 1G1",Buka gourmet foods,(647) 970-4644,,,https://www.yelp.ca/biz/buka-gourmet-foods-etobicoke,43.704544,-79.564593,Etobicoke
African,"150 N Queen Street
Unit D1
Etobicoke, ON M8Z 2C7",Nando’s,(416) 620-9229,$11-30,nandos.ca,https://www.yelp.ca/biz/nandos-etobicoke-4,43.619962,-79.554268,Etobicoke
American (Traditional),"2454 Lake Shore Boulevard W
Etobicoke, ON M8V 1C9",Canadiana Restaurant,(416) 251-5442,Under $10,,https://www.yelp.ca/biz/canadiana-restaurant-etobicoke,43.613697,-79.489376,Etobicoke
American (Traditional),"925 Dixon Road
Etobicoke, ON M9R 1J8",Turtle Jack’s Muskoka Grill,(416) 674-3031,$11-30,turtlejacks.com,https://www.yelp.ca/biz/turtle-jacks-muskoka-grill-etobicoke,43.692276,-79.567202,Etobicoke
American (Traditional),"2 Ronson Drive
Etobicoke, ON M9W 1B2",Route 401 Diner,(416) 247-7836,Under $10,,https://www.yelp.ca/biz/route-401-diner-etobicoke,43.702249,-79.563089,Etobicoke
American (Traditional),"383 Albion Road
Etobicoke, ON M9W 3P4",Alaruba Restaurant,(416) 746-4089,,,https://www.yelp.ca/biz/alaruba-restaurant-etobicoke,43.725427,-79.550955,Etobicoke
American (Traditional),"55 Reading Court
Etobicoke, ON M9W 7K7",Moxie’s Grill & Bar,(416) 798-6788,$11-30,moxies.ca,https://www.yelp.ca/biz/moxies-grill-and-bar-etobicoke,43.689727,-79.590799,Etobicoke
American (Traditional),"3373 Bloor Street W
Etobicoke, ON M8X 1G2",Orwells Restaurant,(416) 236-3339,$11-30,,https://www.yelp.ca/biz/orwells-restaurant-etobicoke,43.64467,-79.522917,Etobicoke
American (Traditional),"171 Carlingview Drive
Etobicoke, ON M9W 5E8",Hooters,(416) 213-9464,,hooters.to,https://www.yelp.ca/biz/hooters-etobicoke,43.681228,-79.592438,Etobicoke
