Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude,City
American (Traditional),"7355 Bayview Ave
Unit 2
Markham, ON L3T 5Z2",Ramona’s Kitchen,(905) 597-9220,$11-30,ramonaskitchen.ca,https://www.yelp.ca/adredir?ad_business_id=fpuyZ31OpX11UlJGFWKoNw&campaign_id=7i65R9E7DFmEEsN5DteOEg&click_origin=search_results&placement=below_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Framonas-kitchen-markham-2&request_id=e7abf29e4422f150&signature=d2557343d235dd1c79b08357545564dbb86fd7838bdb3fa5d9457aa5dd387377&slot=0,43.813408,-79.398656,Markham
American (Traditional),"7355 Bayview Ave
Unit 2
Markham, ON L3T 5Z2",Ramona’s Kitchen,(905) 597-9220,$11-30,ramonaskitchen.ca,https://www.yelp.ca/adredir?ad_business_id=fpuyZ31OpX11UlJGFWKoNw&campaign_id=7i65R9E7DFmEEsN5DteOEg&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Framonas-kitchen-markham-2&request_id=1186394c5f229d7d&signature=047ad0ceeb5995b32b2920262ab4ac8e7b6225b7205dd860b93ada1a05320ada&slot=0,43.813408,-79.398656,Markham
American (Traditional),"7355 Bayview Ave
Unit 2
Markham, ON L3T 5Z2",Ramona’s Kitchen,(905) 597-9220,$11-30,ramonaskitchen.ca,https://www.yelp.ca/biz/ramonas-kitchen-markham-2,43.813408,-79.398656,Markham
American (Traditional),"2900 Steeles Avenue E
Markham, ON L3T 7R5",Wimpy’s Diner,(905) 709-0100,$11-30,wimpysdiner.net,https://www.yelp.ca/biz/wimpys-diner-markham,43.812804,-79.358631,Markham
Asian Fusion,"A6-8362 Kennedy Rd
New Kennedy Square
Markham, ON L3R 9W5",Moji Japanese Eatery,(905) 479-6654,$11-30,mojijapanese.com,https://www.yelp.ca/adredir?ad_business_id=UkWme3kwg6L9rd4tCNB15w&campaign_id=2c_EvWVgdzb6P0O5oBADmQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fmoji-japanese-eatery-markham&request_id=306f54f53daae3eb&signature=81fb49785b02eeda58e8d0c48464e49ba7b56d4f7d4f3564b5e898b93cbe181d&slot=0,43.860138,-79.303348,Markham
Asian Fusion,"7010 Warden Avenue
Markham, ON L3R 5Y3",New Fortune Stone,(905) 475-0099,Under $10,,https://www.yelp.ca/biz/new-fortune-stone-markham,43.820398,-79.325504,Markham
Asian Fusion,"7181 Yonge Street
Markham, ON L3T 2A9",Rice Burger,,,,https://www.yelp.ca/biz/rice-burger-markham,43.80365,-79.419757,Markham
Asian Fusion,"3100 Steeles Avenue E
Unit 102
Markham, ON L3R 8T3",Ten23,(905) 479-6488,$31-60,ten23.ca,https://www.yelp.ca/biz/ten23-markham,43.814958,-79.347075,Markham
Asian Fusion,"3636 Steeles Avenue E
Markham, ON L3R 1K9",Noodle Express,(905) 513-0303,,,https://www.yelp.ca/biz/noodle-express-markham-2,43.818491,-79.329796,Markham
Barbeque,"7100 Woodbine Avenue
Unit 100
Markham, ON L3R 5J2",Gyubee Japanese BBQ - Markham,(647) 361-2844,$31-60,gyubeejapanesebbq.com,https://www.yelp.ca/biz/gyubee-japanese-bbq-markham-markham-3,43.815756,-79.350053,Markham
Barbeque,"3636 Steeles Avenue E
Markham, ON L3R 1K9",Excellent Bbq House,(905) 305-1002,Under $10,,https://www.yelp.ca/biz/excellent-bbq-house-markham,43.818491,-79.329796,Markham
Barbeque,"3636 Steeles E
Markham, ON L3R 1K9",88=Eighteight Korean Cuisine,(905) 947-0399,,,https://www.yelp.ca/biz/88-eighteight-korean-cuisine-markham,43.818656,-79.330451,Markham
Breakfast & Brunch,"7355 Bayview Ave
Unit 2
Markham, ON L3T 5Z2",Ramona’s Kitchen,(905) 597-9220,$11-30,ramonaskitchen.ca,https://www.yelp.ca/adredir?ad_business_id=fpuyZ31OpX11UlJGFWKoNw&campaign_id=qoFRqxC4DOTLJU1o7LZR4w&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Framonas-kitchen-markham-2&request_id=dc0b4b07b56a856a&signature=50c8d02e023dbfb540a242e3382c40287ea86be17bf1a8158d013fb81aabd88e&slot=1,43.813408,-79.398656,Markham
Breakfast & Brunch,"7355 Bayview Ave
Unit 2
Markham, ON L3T 5Z2",Ramona’s Kitchen,(905) 597-9220,$11-30,ramonaskitchen.ca,https://www.yelp.ca/biz/ramonas-kitchen-markham-2,43.813408,-79.398656,Markham
Breakfast & Brunch,"2900 Steeles Avenue E
Markham, ON L3T 7R5",Wimpy’s Diner,(905) 709-0100,$11-30,wimpysdiner.net,https://www.yelp.ca/biz/wimpys-diner-markham,43.812804,-79.358631,Markham
Breakfast & Brunch,"7355 Bayview Ave
Unit 2
Markham, ON L3T 5Z2",Ramona’s Kitchen,(905) 597-9220,$11-30,ramonaskitchen.ca,https://www.yelp.ca/adredir?ad_business_id=fpuyZ31OpX11UlJGFWKoNw&campaign_id=qoFRqxC4DOTLJU1o7LZR4w&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Framonas-kitchen-markham-2&request_id=5aa0c7bec265d475&signature=167bca6a2326676aa8b34d352ac5b2ce5d854a8e781e8f5ee05584d991d3b7a0&slot=1,43.813408,-79.398656,Markham
Breakfast & Brunch,"7240 Woodbine Avenue
Suite 102
Markham, ON L3R 1A4",Steelcase Grill House & Deli,(905) 474-9333,$11-30,steelcasedeli.ca,https://www.yelp.ca/biz/steelcase-grill-house-and-deli-markham,43.819787,-79.350943,Markham
Breakfast & Brunch,"3295 14th Avenue
Markham, ON M2H 3R2",Daily Fresh Grill & Cafe,(905) 477-6889,,dailyfreshgrillandcafe.com,https://www.yelp.ca/biz/daily-fresh-grill-and-cafe-markham-3,43.80205,-79.34431,Markham
Breakfast & Brunch,"7333 Woodbine Ave
Markham, ON L3R 1A7",Eggsmart,(905) 474-3447,$11-30,eggsmart.ca,https://www.yelp.ca/biz/eggsmart-markham-5,43.822502,-79.35031,Markham
Breakfast & Brunch,"7015 Yonge Street
Markham, ON L3T 2A5",Tim Hortons,(905) 707-7755,Under $10,timhortons.com,https://www.yelp.ca/biz/tim-hortons-markham-24,43.79873,-79.419315,Markham
Breakfast & Brunch,"7100 Woodbine Avenue
Markham, ON L3R 5J2",Golden Griddle Family Restaurants,(905) 477-6980,,goldengriddlecorp.com,https://www.yelp.ca/biz/golden-griddle-family-restaurants-markham,43.815756,-79.350053,Markham
Breakfast & Brunch,"3000 Steeles Avenue E
Suite 102
Markham, ON L3R 4T9",Delimark Cafe,(905) 940-3049,,delimarkcafes.com,https://www.yelp.ca/biz/delimark-cafe-markham-4,43.81496,-79.347702,Markham
Buffets,"7225 Woodbine Avenue
Markham, ON L3R 1A3",Frankie Tomatto’s,(905) 940-1900,$11-30,frankietomattos.com,https://www.yelp.ca/biz/frankie-tomattos-markham,43.818829,-79.349202,Markham
Buffets,"3160 Av Steeles E
Markham, ON L3R 4G9",Buffet City,(905) 474-9899,,,https://www.yelp.ca/biz/buffet-city-markham,43.815543,-79.344707,Markham
Burgers,"1 Center St
Markham and Eglinton
Hartlepool TS24 7DA
United Kingdom",Home Burger,+44 4162 669289,,,https://www.yelp.ca/biz/home-burger-hartlepool,43.74294,-79.220508,Markham
Cafes,"8333 Kennedy Road
Unit 32-33
Markham, ON L3R 1J5",Cafe Alice,(905) 604-9040,$11-30,,https://www.yelp.ca/adredir?ad_business_id=1dHkXAQGYuxpQWoIG5WKDQ&campaign_id=Eym3ZaFW6gw4Xnl3C51m2g&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fcafe-alice-markham&request_id=67d86e9723e255b5&signature=821f5cf03ea0fb47fd1d6158bd42a3cdaeb797cfb364c0456575642b4de1c55e&slot=1,43.856108,-79.30318,Markham
Cafes,"7181 Yonge St
Unit 11
Markham, ON L3T 0C7",Bellafornia Bakery Cafe & Bar,(647) 952-3552,$11-30,bellaforniabakery.com,https://www.yelp.ca/biz/bellafornia-bakery-cafe-and-bar-markham,43.802903,-79.419937,Markham
Cafes,"3636 Steeles E Avenue
Markham, ON L3R 1K9",Metro Square Cafe Restaurant,(905) 305-6226,Under $10,,https://www.yelp.ca/biz/metro-square-cafe-restaurant-markham,43.818436,-79.330971,Markham
Cafes,"2900 Steeles Avenue E
Markham, ON L3T 4X1",Venus Coffee,(905) 597-5300,,,https://www.yelp.ca/biz/venus-coffee-markham,43.812688,-79.358316,Markham
Cafes,"7030 Woodbine Avenue
Markham, ON L3R 6G2",Daisy’s Cafe,(416) 712-2346,,,https://www.yelp.ca/biz/daisys-cafe-markham-2,43.814179,-79.350333,Markham
Cafes,"7010 Woodbine Avenue
Markham, ON L3R 1A2",Tim Horton Donuts,(905) 479-7861,$11-30,timhortons.com/ca/en/index.ht…,https://www.yelp.ca/biz/tim-horton-donuts-markham-2,43.814278,-79.349426,Markham
Cafes,"3600 Steeles Avenue
Markham, ON L3R 3Z7",Tim Hortons,(905) 316-3303,Under $10,timhortons.com,https://www.yelp.ca/biz/tim-hortons-markham-19,43.81761,-79.33847,Markham
Cafes,"3295 14th Avenue
Markham, ON M2H 3R2",Daily Fresh Grill & Cafe,(905) 477-6889,,dailyfreshgrillandcafe.com,https://www.yelp.ca/biz/daily-fresh-grill-and-cafe-markham-3,43.80205,-79.34431,Markham
