Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude,City
American (Traditional),"1492 Dundas Street E
Unit 1
Mississauga, ON L4X 1L4",Crabby Joe’s,(905) 270-5637,$11-30,crabbyjoes.com,https://www.yelp.ca/biz/crabby-joes-mississauga-3,43.61176,-79.581075,Mississauga
American (Traditional),"2800 Skymark Avenue
Mississauga, ON L4W 5A7",The Bull - Pub & Grill,(905) 212-7711,$11-30,thebullpubandgrill.ca,https://www.yelp.ca/biz/the-bull-pub-and-grill-mississauga,43.662458,-79.592776,Mississauga
American (Traditional),"15 Stavebank Road S
Mississauga, ON L5G 2T2",Breakwater Fine Dining,(905) 891-6225,Above $61,watersideinn.ca/breakwater,https://www.yelp.ca/biz/breakwater-fine-dining-mississauga,43.551327,-79.584264,Mississauga
American (Traditional),"105 Lakeshore Road E
Mississauga, ON L5G 1E2",Roc’n Doc’s,(905) 891-1754,$11-30,rocndocs.com,https://www.yelp.ca/biz/rocn-docs-mississauga,43.553632,-79.583437,Mississauga
American (Traditional),"40 Lakeshore Road E
Mississauga, ON L5G 1C8",The Pump House Grille,(905) 891-7867,$11-30,pumphousegrilleco.com,https://www.yelp.ca/biz/the-pump-house-grille-mississauga-3,43.552156,-79.585443,Mississauga
American (Traditional),"2206 Dundas St E
Mississauga, ON L4X 1L9",Bounty Grill,(905) 276-4474,$11-30,bountygrill.ca,https://www.yelp.ca/biz/bounty-grill-mississauga,43.625435,-79.564816,Mississauga
American (Traditional),"1381 Lakeshore Road East
Mississauga, ON L5E 2P3",Lily’s Place,(905) 274-4400,$11-30,,https://www.yelp.ca/biz/lilys-place-mississauga,43.585041,-79.550176,Mississauga
American (Traditional),"1505 Dundas St E
Mississauga, ON L4X 1L3",Harvey’s Restaurants,(905) 625-8706,Under $10,harveys.ca,https://www.yelp.ca/biz/harveys-restaurants-mississauga-13,43.611984,-79.581664,Mississauga
American (Traditional),"252 Lakeshore Rd W
Mississauga, ON L5H 1G6",Swiss Chalet Rotisserie & Grill,(905) 278-0391,,swisschalet.com,https://www.yelp.ca/biz/swiss-chalet-rotisserie-and-grill-mississauga-6,43.546859,-79.592271,Mississauga
American (Traditional),"1248 Dundas Street E
Mississauga, ON L4Y 2C1",Gametime Eatery & Entertainment,(289) 521-9464,$11-30,gametimefun.com,https://www.yelp.ca/biz/gametime-eatery-and-entertainment-mississauga-3,43.605843,-79.585751,Mississauga
American (Traditional),"241 Lakeshore Road E
Mississauga, ON L5G 1G8",Dunk’n Dip,(905) 990-5522,$11-30,dunkndip.ca,https://www.yelp.ca/biz/dunkn-dip-mississauga-4,43.559354,-79.577141,Mississauga
American (Traditional),"1455 Dundas St East
Mississauga, ON L4X 1L3",Swiss Chalet Rotisserie & Grill,(905) 206-0092,$11-30,swisschalet.com,https://www.yelp.ca/biz/swiss-chalet-rotisserie-and-grill-mississauga-4,43.610989,-79.582755,Mississauga
American (Traditional),"589 North Service Road
Mississauga, ON L5A 1B2",Mama Rosa,(905) 272-0194,$11-30,,https://www.yelp.ca/biz/mama-rosa-mississauga,43.581759,-79.586291,Mississauga
American (Traditional),"Pearson International Airport Terminal 3
3111 Convair Dr
Mississauga, ON L4W 1S9",Swiss Chalet Rotisserie and Grill/Roost,(416) 776-3100,,,https://www.yelp.ca/biz/swiss-chalet-rotisserie-and-grill-roost-mississauga,43.671142,-79.59607,Mississauga
Arabian,"2340 Council Ring Road
Unit 107
Mississauga, ON L5L 1C1",Almonasabah,(905) 820-5080,$11-30,monasabahrestaurant.ca,https://www.yelp.ca/biz/almonasabah-mississauga,43.534409,-79.678268,Mississauga
Arabian,"5120 Dixie Road
Unit 1
Mississauga, ON L4W 4K2",Mandillicious,(905) 212-9993,$31-60,mandilicious.ca,https://www.yelp.ca/biz/mandillicious-mississauga,43.636726,-79.622832,Mississauga
Asian Fusion,"1248 Dundas Street E
Mississauga, ON L4Y 2C1",I Love Pho,(905) 566-8898,Under $10,,https://www.yelp.ca/biz/i-love-pho-mississauga-2,43.605691,-79.585604,Mississauga
Asian Fusion,"1133 Dundas Street E
Mississauga, ON L4Y 1R6",Urumchi Ozgu Uyghur Restaurant,(905) 949-1888,,,https://www.yelp.ca/biz/urumchi-ozgu-uyghur-restaurant-mississauga,43.604339,-79.590242,Mississauga
Bangladeshi,"7025 Tomken Road
Unit 15-18
Mississauga, ON L5S 1R6",Premium Sweets,(905) 696-6893,$11-30,premiumsweets.ca,https://www.yelp.ca/biz/premium-sweets-mississauga,43.666703,-79.684383,Mississauga
Barbeque,"1133 Dundas Street E
Mississauga, ON L4Y 2C3",Holy Smokez BBQ Sandwiches,(647) 799-2273,$11-30,holysmokez.com,https://www.yelp.ca/biz/holy-smokez-bbq-sandwiches-mississauga,43.603958,-79.589855,Mississauga
Barbeque,"89 Lakeshore Road E
Mississauga, ON L5G 1C9",Fired Up,(905) 990-3473,$11-30,firedupbbq.com,https://www.yelp.ca/biz/fired-up-mississauga,43.552757,-79.583887,Mississauga
Barbeque,"888 Dundas Street E
Mississauga, ON L4Y 4G6",Luen Hing Barbecue,(905) 279-4551,Under $10,,https://www.yelp.ca/biz/luen-hing-barbecue-mississauga,43.59731,-79.594938,Mississauga
Barbeque,"888 Dundas Street E
Unit A2
Mississauga, ON L4Y 4G6",Long Zu Bbq,(905) 803-9333,$11-30,,https://www.yelp.ca/biz/long-zu-bbq-mississauga,43.597863,-79.594601,Mississauga
Barbeque,"A1-800 Dundas Street E
Mississauga, ON L4Y 2B6",Sikgaek,(647) 558-2836,$11-30,,https://www.yelp.ca/biz/sikgaek-mississauga-3,43.597218,-79.597157,Mississauga
Barbeque,"1156 Dundas Street E
Mississauga, ON L4Y 2C1",Canadian BBQ,(905) 272-4800,,,https://www.yelp.ca/biz/canadian-bbq-mississauga,43.603845,-79.58761,Mississauga
Barbeque,"2480 Cawthra Rd
Unit 7
Mississauga, ON L5A 2X2",Bella’s Bbq Chicken,(905) 949-5141,,,https://www.yelp.ca/biz/bellas-bbq-chicken-mississauga,43.592098,-79.596518,Mississauga
Barbeque,"888 Dundas Street E
Unit C3&4
Mississauga, ON L4Y 4G6",Blue Lagoon Seafood Master,(905) 566-9888,$11-30,bluelagoonseafoodmaster.com,https://www.yelp.ca/biz/blue-lagoon-seafood-master-mississauga,43.597823,-79.593706,Mississauga
Breakfast & Brunch,"398 Lakeshore Rd E
Mississauga, ON L5G 1H5",Bobby’s Hideaway,(905) 278-3688,$11-30,bobbyshideaway.com,https://www.yelp.ca/biz/bobbys-hideaway-mississauga-2,43.563536,-79.571914,Mississauga
Breakfast & Brunch,"2200 Dundas Street E
Mississauga, ON L4X 2V3",Muddy Duck Restaurant,(905) 275-9430,$11-30,muddyduck.com,https://www.yelp.ca/biz/muddy-duck-restaurant-mississauga,43.625838,-79.565379,Mississauga
Breakfast & Brunch,"803 Lakeshore Road E
Mississauga, ON L5E 1W8",Antojitos,(905) 274-2222,$11-30,antojitos.ca,https://www.yelp.ca/biz/antojitos-mississauga,43.572276,-79.564099,Mississauga
Breakfast & Brunch,"360 Lakeshore Boulevard W
Mississauga, ON L5H 1H3",Maggie’s Diner,(905) 278-4405,$11-30,,https://www.yelp.ca/biz/maggies-diner-mississauga,43.54257,-79.596242,Mississauga
Breakfast & Brunch,"40 Lakeshore Road E
Mississauga, ON L5G 1C8",The Pump House Grille,(905) 891-7867,$11-30,pumphousegrilleco.com,https://www.yelp.ca/biz/the-pump-house-grille-mississauga-3,43.552156,-79.585443,Mississauga
Breakfast & Brunch,"1225 Dundas Street E
Suite 14B
Mississauga, ON L4Y 2C5",Corner By Spoon and Fork,(905) 803-1100,$11-30,sfcorner.ca,https://www.yelp.ca/biz/corner-by-spoon-and-fork-mississauga-3,43.6065,-79.587975,Mississauga
Breakfast & Brunch,"1510 Dundas St E
Mississauga, ON L4X 1L4",Sunset Grill,(905) 277-7677,$11-30,sunsetgrill.ca,https://www.yelp.ca/biz/sunset-grill-mississauga-4,43.612136,-79.580669,Mississauga
Breakfast & Brunch,"655 The Queensway
Mississauga, ON L5A 3X6",Eggsmart,(905) 273-6520,Under $10,eggsmart.ca,https://www.yelp.ca/biz/eggsmart-mississauga-2,43.588677,-79.592559,Mississauga
Breakfast & Brunch,"2206 Dundas St E
Mississauga, ON L4X 1L9",Bounty Grill,(905) 276-4474,$11-30,bountygrill.ca,https://www.yelp.ca/biz/bounty-grill-mississauga,43.625435,-79.564816,Mississauga
Breakfast & Brunch,"102 Lakeshore Rd W
Mississauga, ON L5H 1E8",Sunset Grill,(905) 891-2200,$11-30,sunsetgrill.ca,https://www.yelp.ca/biz/sunset-grill-mississauga-2,43.55009,-79.587647,Mississauga
Breakfast & Brunch,"2601 Matheson Boulevard E
Mississauga, ON L4W 5A8",Plaka,(905) 625-9437,$11-30,plakarestaurant.ca/index.html,https://www.yelp.ca/biz/plaka-mississauga,43.660132,-79.600271,Mississauga
Breakfast & Brunch,"2345 Stanfield Road
Mississauga, ON L4Y 1S1",Stanfield Grill House,(905) 803-0980,$11-30,,https://www.yelp.ca/biz/stanfield-grill-house-mississauga,43.598856,-79.583172,Mississauga
Breakfast & Brunch,"515 Lakeshore Road E
Unit 101
Mississauga, ON L5G 1H9",Coffee Culture Cafe & Eatery,(905) 990-6611,,coffeeculturecafe.com,https://www.yelp.ca/biz/coffee-culture-cafe-and-eatery-mississauga-3,43.566473,-79.571044,Mississauga
Breakfast & Brunch,"6-1650 Dundas Street E
Unit 6
Mississauga, ON L4X 2Z3",Hungry Jack,(905) 487-5800,$11-30,hungryjacks.com.au,https://www.yelp.ca/biz/hungry-jack-mississauga,43.614228,-79.576674,Mississauga
Breakfast & Brunch,"507 Lakeshore Rd E
Unit 111
Mississauga, ON L5G 1H9",Sunset Grill,(905) 990-0815,,sunsetgrill.ca,https://www.yelp.ca/biz/sunset-grill-mississauga-7,43.565503,-79.571363,Mississauga
Breakfast & Brunch,"1030A Dundas Street E
Mississauga, ON L4Y 2B8",Vilamor Cafe,(905) 277-1200,,,https://www.yelp.ca/biz/vilamor-cafe-mississauga,43.601777,-79.59165,Mississauga
Breakfast & Brunch,"1250 S Service Road
Mississauga, ON L5E 1V4",Tim Horton,(905) 271-0936,,timhortons.com,https://www.yelp.ca/biz/tim-horton-mississauga-3,43.594332,-79.566737,Mississauga
Breakfast & Brunch,"2427 Cawthra Road
Mississauga, ON L5A 2W7",Tim Hortons,(905) 566-1139,Under $10,timhortons.com,https://www.yelp.ca/biz/tim-hortons-mississauga-35,43.591765,-79.595159,Mississauga
Buffets,"2200 Dundas Street E
Mississauga, ON L4X 2V3",Muddy Duck Restaurant,(905) 275-9430,$11-30,muddyduck.com,https://www.yelp.ca/biz/muddy-duck-restaurant-mississauga,43.625838,-79.565379,Mississauga
