Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude,City
American (Traditional),"2300 Keele Street
North York, ON M6M 3Z8",The Pit Stop Family Restaurant,(416) 244-5886,Under $10,,https://www.yelp.ca/biz/the-pit-stop-family-restaurant-north-york,43.703283,-79.476843,North York
American (Traditional),"1060 Wilson Avenue
North York, ON M3K 1G6",Peter G’s Bar and Grill,(416) 636-5660,$11-30,petergs.ca,https://www.yelp.ca/biz/peter-gs-bar-and-grill-north-york,43.728424,-79.479947,North York
American (Traditional),"1448 Lawrence Avenue E
North York, ON M4A 2S8",Georgy Porgys,(416) 285-8980,$11-30,georgyporgys.ca,https://www.yelp.ca/biz/georgy-porgys-north-york,43.742146,-79.314609,North York
American (Traditional),"898 Don Mills Rd
North York, ON M3C 1V6",Harvey’s Restaurants,(416) 444-1343,Under $10,harveys.ca,https://www.yelp.ca/biz/harveys-restaurants-north-york-8,43.726573,-79.341009,North York
American (Traditional),"1448 Lawrence Avenue E
North York, ON M4A 2S8",Shooters Snooker & Sports Club,(416) 750-7787,Under $10,shooterssnooker.com,https://www.yelp.ca/biz/shooters-snooker-and-sports-club-north-york,43.742146,-79.314609,North York
American (Traditional),"3240 Dufferin Street
Unit 3
North York, ON M6A 2T3",Orfus Wrap and Grill,(416) 780-9217,Under $10,orfuswrapandgrill.ca,https://www.yelp.ca/biz/orfus-wrap-and-grill-north-york,43.719681,-79.457108,North York
American (Traditional),"5307 Yonge St
North York, ON M2N 5R4",St. Louis Bar & Grill,(416) 226-5988,$11-30,stlouiswings.com,https://www.yelp.ca/biz/st-louis-bar-and-grill-north-york-4,43.773186,-79.413604,North York
American (Traditional),"5941 Leslie Street
North York, ON M2H 1J8",Pickle Barrel Restaurant,(416) 493-4444,$11-30,picklebarrel.ca,https://www.yelp.ca/biz/pickle-barrel-restaurant-north-york,43.798709,-79.370005,North York
American (Traditional),"6-4801 Steeles Avenue W
North York, ON M9L 2W1",Flaming Star,(416) 746-2024,,,https://www.yelp.ca/biz/flaming-star-north-york,43.770602,-79.541062,North York
American (Traditional),"808 York Mills Rd
Unit A-24
North York, ON M3B 1X8",St. Louis Bar & Grill,(416) 441-0342,$11-30,stlouiswings.com,https://www.yelp.ca/biz/st-louis-bar-and-grill-north-york-3,43.754089,-79.357989,North York
American (Traditional),"4548 Dufferin St
Unit A
North York, ON M3H 5R9",St. Louis Bar & Grill,(416) 663-2000,$11-30,stlouiswings.com,https://www.yelp.ca/biz/st-louis-bar-and-grill-north-york-2,43.767869,-79.467415,North York
American (Traditional),"3343 Bayview Ave
North York, ON M2K 1G4",Harvey’s Restaurants,(416) 730-9599,Under $10,harveys.ca,https://www.yelp.ca/biz/harveys-restaurants-north-york,43.792358,-79.393536,North York
American (Traditional),"4207 Keele Street
North York, ON M3J 3T8",Hoops Sports Bar & Grill,(416) 661-4667,$11-30,,https://www.yelp.ca/biz/hoops-sports-bar-and-grill-north-york,43.773345,-79.493015,North York
American (Traditional),"800 Petrolia Road
North York, ON M3J 3K4",Tashkent Restaurant,(416) 667-0737,,,https://www.yelp.ca/biz/tashkent-restaurant-north-york,43.779369,-79.489809,North York
Asian Fusion,"5865 Leslie Street
North York, ON M2H 1W8",Koryo Samgaetang,(416) 493-0880,$11-30,koryorestaurant.ca,https://www.yelp.ca/biz/koryo-samgaetang-north-york,43.798412,-79.368898,North York
Asian Fusion,"2003 Avenue Road
North York, ON M5M 4A5",Satay On the Road,(416) 488-5153,$11-30,satayontheroad.com,https://www.yelp.ca/biz/satay-on-the-road-north-york,43.735317,-79.419896,North York
Asian Fusion,"10 Ravel Road
Unit 3
North York, ON M2H 1S8",Sushi Legend,(416) 496-8881,$11-30,sushilegend.com,https://www.yelp.ca/biz/sushi-legend-north-york,43.792411,-79.364891,North York
Asian Fusion,"5588 Yonge Street
North York, ON M2N 5S2",Pyung Won House,(416) 225-0904,$11-30,,https://www.yelp.ca/biz/pyung-won-house-north-york,43.77941,-79.415798,North York
Barbeque,"1959 Finch Avenue W
North York, ON M3N 2V3",Yummy Wok N Bbq House,(416) 740-0001,Under $10,,https://www.yelp.ca/biz/yummy-wok-n-bbq-house-north-york,43.757148,-79.518207,North York
Barbeque,"5600 Yonge Street
North York, ON M2N 5S2",Ssam,(416) 224-5509,$31-60,,https://www.yelp.ca/biz/ssam-north-york,43.779495,-79.415825,North York
Barbeque,"900 Don Mills Road
Unit 2
North York, ON M3C 1V6",Genghis Khan Mongolian Grill,(416) 449-8228,$11-30,ggkbbq.com,https://www.yelp.ca/biz/genghis-khan-mongolian-grill-north-york,43.726896,-79.342237,North York
Barbeque,"3038 Bathurst Street
North York, ON M6B 4K2",The Chicken Nest,(416) 787-6378,$31-60,thechickennest.ca,https://www.yelp.ca/biz/the-chicken-nest-north-york,43.71854,-79.429872,North York
Barbeque,"3366 Keele Street
North York, ON M3J 1L5",Son Lechon Bbq Restaurant,(416) 636-2988,,,https://www.yelp.ca/biz/son-lechon-bbq-restaurant-north-york,43.747335,-79.487094,North York
