Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude,City
American (Traditional),"10 Disera Drive
Thornhill, ON L4J 9G7",Boneyard Grill,(905) 762-0825,$11-30,boneyardgrill.com,https://www.yelp.ca/biz/boneyard-grill-thornhill,43.810509,-79.454233,Other
American (Traditional),"8074 Islington Avenue
Woodbridge, ON L4L 1W5",Memphis BBQ,(905) 265-9003,$11-30,bigbonebbq.ca/woodbridge,https://www.yelp.ca/biz/memphis-bbq-woodbridge,43.789337,-79.587131,Other
American (Traditional),Sherway Gardens,Beaumont Kitchen,(416) 641-7327,$31-60,beaumontkitchen.com,https://www.yelp.ca/biz/beaumont-kitchen-etobicoke,43.61179,-79.554725,Other
American (Traditional),"150 Windflower Gate
Woodbridge, ON L4L 9K8",Slumdog Bar & Grill,(905) 850-9389,$11-30,slumdog.ca/woodbridge,https://www.yelp.ca/biz/slumdog-bar-and-grill-woodbridge,43.790688,-79.552224,Other
American (Traditional),"7700 Bathurst St
Thornhill, ON L4J 7Y3",Swiss Chalet Rotisserie & Grill,(905) 771-7666,$11-30,swisschalet.com,https://www.yelp.ca/biz/swiss-chalet-rotisserie-and-grill-thornhill,43.809683,-79.451262,Other
American (Traditional),"4441 Highway 7
Woodbridge, ON L4L 5W6",Galaxie Diner,(905) 264-7244,Under $10,,https://www.yelp.ca/biz/galaxie-diner-woodbridge,43.784848,-79.569376,Other
American (Traditional),"1000 Rowntree Dairy Rd
Woodbridge, ON L4L 5X3",Harvey’s Restaurants,(905) 856-3879,,harveys.ca,https://www.yelp.ca/biz/harveys-restaurants-woodbridge-3,43.784138,-79.568114,Other
American (Traditional),"7291 Yonge Street
Thornhill, ON L3T 2A9",Red Lobster,(905) 731-3550,$11-30,,https://www.yelp.ca/biz/red-lobster-thornhill,43.805246,-79.421279,Other
American (Traditional),"330 Steeles Avenue W
Thornhill, ON L4J 6X6",Tickled Toad Pub & Grill,(905) 771-1766,$11-30,tickledtoad.com,https://www.yelp.ca/biz/tickled-toad-pub-and-grill-thornhill,43.79573,-79.430827,Other
American (Traditional),"4120 Steeles W
Woodbridge, ON L4L 4V2",Cameo Lounge,(905) 605-6080,$11-30,cameolounge.ca,https://www.yelp.ca/biz/cameo-lounge-woodbridge,43.769284,-79.556527,Other
American (Traditional),"269 Rexdale Blvd
Rexdale, ON M9W 1P7",Harvey’s Restaurants,(416) 746-2057,,harveys.ca,https://www.yelp.ca/biz/harveys-restaurants-rexdale,43.712279,-79.577259,Other
American (Traditional),"7335 Yonge St
Thornhill, ON L3T 2B2",Sports Nut Bar & Grill,(905) 763-1311,,,https://www.yelp.ca/biz/sports-nut-bar-and-grill-thornhill,43.806259,-79.422135,Other
Arabian,"79 King Street
St. Catharines, ON L2R 3H6",Shawarma House,(905) 397-7777,Under $10,shawarmahouse1.ca,https://www.yelp.ca/biz/shawarma-house-st-catharines,43.158506,-79.246486,Other
Asian Fusion,First Canadian Place,Kid Lee,(647) 352-0092,$11-30,kidleefood.com,https://www.yelp.ca/biz/kid-lee-toronto-2,43.648708,-79.381489,Other
Asian Fusion,DaiLo,LoPan,(647) 341-8882,$31-60,dailoto.com,https://www.yelp.ca/biz/lopan-toronto,43.655799,-79.4099,Other
Asian Fusion,"7398 Yonge Street
Unit 1-3D
Thornhill, ON L4J 8J2",Hub Sushi Fusion Japanese Restaurant,(905) 597-1112,$11-30,hubsushi.ca,https://www.yelp.ca/biz/hub-sushi-fusion-japanese-restaurant-thornhill,43.809209,-79.423465,Other
Asian Fusion,"Concord, ON",Steak Land,,Under $10,,https://www.yelp.ca/biz/steak-land-concord,43.798329,-79.507907,Other
