Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude,City
Buffets,"Sheraton Parkway Hotel
600 Highway 7 E
Richmond Hill, ON L4B 4R8",Crave,(905) 695-2828,$11-30,sheratonparkway.com/crave-res…,https://www.yelp.ca/adredir?ad_business_id=frnkDjjlTLdUqwTcBbLUEA&campaign_id=7Jhtx4WJ0bGcC_DoB5sNiw&click_origin=search_results&placement=below_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fcrave-richmond-hill&request_id=686908361c0e32d2&signature=1c343061ef4abcb3dcc959a0ff1e062cf2992ca284ff119f5fd7c4e731b86558&slot=0,43.845568,-79.381025,Richmond Hill
Buffets,"Sheraton Parkway Hotel
600 Highway 7 E
Richmond Hill, ON L4B 4R8",Crave,(905) 695-2828,$11-30,sheratonparkway.com/crave-res…,https://www.yelp.ca/adredir?ad_business_id=frnkDjjlTLdUqwTcBbLUEA&campaign_id=7Jhtx4WJ0bGcC_DoB5sNiw&click_origin=search_results&placement=below_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fcrave-richmond-hill&request_id=d2aa36d4f5fe5da4&signature=ccb524cff7209fbc497c0e6cbaca9a76c40f05dfaa1a17d16595e51e07e737a3&slot=0,43.845568,-79.381025,Richmond Hill
Cambodian,"9625 Yonge St
Richmond Hill, ON L4C 5T2",Friends Restaurant,(905) 737-4500,$11-30,,https://www.yelp.ca/biz/friends-restaurant-richmond-hill,43.861677,-79.43334,Richmond Hill
Cantonese,"10610 Bayview Avenue
Unit 2-3
Richmond Hill, ON L4C 3N8",GoGo Chicken Pot,(905) 737-1628,$31-60,,https://www.yelp.ca/biz/gogo-chicken-pot-richmond-hill-2,43.890038,-79.419953,Richmond Hill
Hot Pot,"550 Highway 7
Unit 80-82
Richmond Hill, ON L4B 3Z4",Taste Hotpot,(647) 559-9269,$31-60,Tastehotpot.com,https://www.yelp.ca/adredir?ad_business_id=W09XNvokpbgvfNGB_ms8tg&campaign_id=xHKt5cFKzfwX_z2IhLRV-g&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Ftaste-hotpot-richmond-hill&request_id=fa72f2d20c8cba63&signature=03199bcb8a96ab71e24168d1080b7aa8fa976cf4d5eb73205ee64c02eb7a76c0&slot=0,43.845098,-79.383955,Richmond Hill
Hot Pot,"550 Highway 7
Unit 80-82
Richmond Hill, ON L4B 3Z4",Taste Hotpot,(647) 559-9269,$31-60,Tastehotpot.com,https://www.yelp.ca/adredir?ad_business_id=W09XNvokpbgvfNGB_ms8tg&campaign_id=xHKt5cFKzfwX_z2IhLRV-g&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Ftaste-hotpot-richmond-hill&request_id=bf8f1d64227b7708&signature=36d6d9a6d65fae0b70f6031b181c368adda6ad21a6b7197ccec769f0a61bd7a2&slot=0,43.845098,-79.383955,Richmond Hill
Hungarian,"10152 Yonge Street
Richmond Hill, ON L4C 1T6",Rhapsody Continental Hungarian Cuisine,(905) 884-0305,$11-30,rhapsodycuisine.com,https://www.yelp.ca/biz/rhapsody-continental-hungarian-cuisine-richmond-hill,43.87494,-79.43822,Richmond Hill
Indian,"1070 Major Mackenzie Drive E
Unit H1
Richmond Hill, ON L4S 1P3",Bombay’s Chutney,(905) 883-4400,$11-30,bombayschutney.com,https://www.yelp.ca/adredir?ad_business_id=DKqhCd3Vwl3CEo8vUHhLYg&campaign_id=6dwKvzVFSRiQ1tSqemy4Bg&click_origin=search_results&placement=below_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fbombays-chutney-richmond-hill&request_id=fd5d194e817ad5e0&signature=69aa877d19886dbab1bb84b6b43c63fa8c2e45dc1b667a81d8f8fd4fea129070&slot=0,43.876922,-79.41505,Richmond Hill
Pan Asian,"16 Vogell Road
Unit B
Richmond Hill, ON L4B 3K4",Mosaic Southeast Asian,(905) 237-6028,$11-30,mosaicsoutheastasian.business…,https://www.yelp.ca/biz/mosaic-southeast-asian-richmond-hill-2,43.864249,-79.383347,Richmond Hill
Seafood,"420 Hwy 7 E
Richmond Hill, ON L4B 3K2",Omei Restaurant,(647) 559-9067,$31-60,omeirestaurant.com,https://www.yelp.ca/adredir?ad_business_id=3qjztON1RW5Hn6QJLDl8ug&campaign_id=xEFQRNw1t8kQPstYCDCPyw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fomei-restaurant-richmond-hill&request_id=dfddd68463e36cef&signature=b770418d2e08254584a40f25bc8dc5d03c0a517aaa4013bcf3b376f6337403b8&slot=1,43.842899,-79.390307,Richmond Hill
Singaporean,"360 Highway 7 E
Unit 5
Richmond Hill, ON L4B 3Y7",White Orchid,(905) 709-4660,$11-30,white-orchid.ca,https://www.yelp.ca/biz/white-orchid-richmond-hill,43.841619,-79.39738,Richmond Hill
Singaporean,"10 E Wilmot Street
Richmond Hill, ON L4B 1K9",Bali Restaurant,(905) 882-0772,$11-30,,https://www.yelp.ca/biz/bali-restaurant-richmond-hill,43.853399,-79.383606,Richmond Hill
South African,"9625 Yonge Street
Richmond Hill, ON L4C 5T2",Nando’s Flame Grilled Chicken,(905) 508-6500,$11-30,nandos.ca,https://www.yelp.ca/biz/nandos-flame-grilled-chicken-richmond-hill,43.861202,-79.434315,Richmond Hill
