Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude,City
Afghan,Scarborough Town Centre,Naan and Kabob,(647) 345-3435,$11-30,naanandkabob.ca,https://www.yelp.ca/biz/naan-and-kabob-toronto-3,43.775672,-79.258193,Scarborough
Afghan,"1801 Lawrence Avenue E
Scarborough, ON M1R 2X9",Naan and Kabob,(416) 285-8191,$11-30,nandk.ca,https://www.yelp.ca/biz/naan-and-kabob-scarborough,43.742424,-79.305327,Scarborough
Afghan,"880 Ellesmere Road
Unit 302
Scarborough, ON M1P 2W6",Ali Baba Cafe and Restaurant,(647) 834-4801,$11-30,,https://www.yelp.ca/biz/ali-baba-cafe-and-restaurant-scarborough,43.765813,-79.281899,Scarborough
African,"4180 Kingston Road
Scarborough, ON M1E 2M4",Twice As Nice,(416) 281-6423,$11-30,twiceasnicefood.com,https://www.yelp.ca/adredir?ad_business_id=aWlvKKSAE6ZFPK3ij6ubqg&campaign_id=iaW2ne-DfJMtJMbwAY9low&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Ftwice-as-nice-scarborough&request_id=ad3f26caf8bad6fa&signature=cd6c0c3bfb4c8b2156e91b7fc5d987b86a266a99c6e0b199d20de582e320094a&slot=0,43.758947,-79.197739,Scarborough
African,"4180 Kingston Road
Scarborough, ON M1E 2M4",Twice As Nice,(416) 281-6423,$11-30,twiceasnicefood.com,https://www.yelp.ca/adredir?ad_business_id=aWlvKKSAE6ZFPK3ij6ubqg&campaign_id=iaW2ne-DfJMtJMbwAY9low&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Ftwice-as-nice-scarborough&request_id=15a350dc33c7d560&signature=9055fb6f05de5515dcc7e9ed758a1dfe008f92b857d00aa8469215d74e1f95b4&slot=0,43.758947,-79.197739,Scarborough
African,"2010 Lawrence Avenue E
Scarborough, ON M1R 2Z1",Sahan Restaurant,(416) 759-7242,$11-30,sahanrestaurant.ca,https://www.yelp.ca/biz/sahan-restaurant-scarborough,43.74503,-79.296375,Scarborough
African,"80 Ellesmere Road
Scarborough, ON M1R 4C2",Karibu Restaurant,(416) 385-1234,$11-30,,https://www.yelp.ca/biz/karibu-restaurant-scarborough,43.759277,-79.310422,Scarborough
African,"4180 Kingston Road
Scarborough, ON M1E 2M4",Twice As Nice,(416) 281-6423,$11-30,twiceasnicefood.com,https://www.yelp.ca/adredir?ad_business_id=aWlvKKSAE6ZFPK3ij6ubqg&campaign_id=iaW2ne-DfJMtJMbwAY9low&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Ftwice-as-nice-scarborough&request_id=2e779018cc867018&signature=62e39d889259bfcce148d6f9fed599854719ffb5f605d9767f44f0013762be7f&slot=1,43.758947,-79.197739,Scarborough
American (Traditional),"55 Lebovic Avenue
Unit 101-103
Scarborough, ON M1L 4V9",Affy’s Premium Grill,(647) 341-4443,,affyspremiumgrillscarborough.…,https://www.yelp.ca/biz/affys-premium-grill-scarborough,43.722653,-79.289549,Scarborough
American (Traditional),"12 Lebovic Ave
Unit 9
Scarborough, ON M1L 4V9",East Side Mario’s,(416) 285-6626,$11-30,eastsidemarios.com,https://www.yelp.ca/biz/east-side-marios-scarborough,43.723936,-79.290721,Scarborough
American (Traditional),"3252 Sheppard Avenue E
Scarborough, ON M1T 3K3",Red Lobster,(416) 491-2507,$11-30,,https://www.yelp.ca/biz/red-lobster-scarborough-2,43.777184,-79.314778,Scarborough
