Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude,City
American (Traditional),,The Mighty Cob,(416) 500-8554,,themightycob.com,https://www.yelp.ca/biz/the-mighty-cob-brampton-4,,,Unknown
Breakfast & Brunch,,Bendale Restaurant,,,,https://www.yelp.ca/biz/bendale-restaurant-toronto,,,Unknown
Cafes,,Aroma Espresso Bar,,,,https://www.yelp.ca/biz/aroma-espresso-bar-toronto-7,,,Unknown
Cafes,,Sidecar,,,,https://www.yelp.ca/adredir?ad_business_id=TLMysu1mWiLEslCBon5W1g&campaign_id=OKE56217kHD1J1EVdJRfNQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fsidecar-toronto&request_id=d616a84be9fd199f&signature=e919b14bb26dddbfac5cb7a0552c2bb9fd761d9ed78acc6ccdde48d792308c6e&slot=1,,,Unknown
Cafes,,Social Bar Cafe & Desserts,,,,https://www.yelp.ca/biz/social-bar-cafe-and-desserts-toronto,,,Unknown
Cafes,,Slowlife Tea 悦茗缘,(647) 996-6025,$11-30,,https://www.yelp.ca/biz/slowlife-tea-%E6%82%A6%E8%8C%97%E7%BC%98-markham,,,Unknown
Canadian (New),,The Emerson,,,,https://www.yelp.ca/biz/the-emerson-toronto,,,Unknown
Canadian (New),,Egglicious,,,,https://www.yelp.ca/biz/egglicious-toronto,,,Unknown
Canadian (New),,The Pickle Barrel,,,,https://www.yelp.ca/biz/the-pickle-barrel-toronto,,,Unknown
Canadian (New),,The Diner’s Corner,,,,https://www.yelp.ca/adredir?ad_business_id=cd3ced-z0OLP-yBUPSNKjQ&campaign_id=k3ocRgwWFhS0PLwfDQg0Vg&click_origin=search_results&placement=below_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fthe-diners-corner-toronto&request_id=1a1ff2a2879a6f58&signature=9a641d733c7258aa0227c99a6144563cc60e0fb399302172e5eddb0d2f42025e&slot=0,,,Unknown
Canadian (New),,Peller Estates Winery & Restaurant,(905) 468-4678,$31-60,peller.com,https://www.yelp.ca/biz/peller-estates-winery-and-restaurant-niagara-on-the-lake,,,Unknown
