Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude,City
American (Traditional),"205 Marycroft Avenue
Vaughan, ON L4L 5X8",Swiss Chalet Rotisserie & Grill,(905) 856-2948,$11-30,swisschalet.com,https://www.yelp.ca/biz/swiss-chalet-rotisserie-and-grill-vaughan-2,43.785251,-79.564839,Vaughan
American (Traditional),"90 Edgeley Blvd
Unit 106
Vaughan, ON L4K 5W7",St. Louis Bar & Grill,(905) 660-4999,$11-30,stlouiswings.com,https://www.yelp.ca/biz/st-louis-bar-and-grill-vaughan,43.796641,-79.533099,Vaughan
American (Traditional),"30 Colossus Drive
Unit B
Vaughan, ON L4L 0B7",Moxie’s Grill & Bar,(905) 265-8090,$11-30,moxies.ca,https://www.yelp.ca/biz/moxies-grill-and-bar-vaughan,43.787151,-79.543407,Vaughan
American (Traditional),"1 Promenade Circle
Unit F112
Vaughan, ON L4J 4P8",Bourbon Street Grill,(905) 771-8892,,irg168.com,https://www.yelp.ca/biz/bourbon-street-grill-vaughan,43.806667,-79.4524,Vaughan
American (Traditional),"120 Interchange Way
Vaughan, ON L4K 5C3",Dave & Buster’s,(905) 760-7600,$11-30,daveandbusters.com,https://www.yelp.ca/biz/dave-and-busters-vaughan-2,43.788791,-79.535297,Vaughan
American (Traditional),"1118 Centre Street
Unit 7, 8, 9
Vaughan, ON L4J 7R9",Mirage Restaurant and Banquet Hall,(647) 608-0089,,miragerestaurant.ca,https://www.yelp.ca/biz/mirage-restaurant-and-banquet-hall-vaughan,43.810062,-79.462088,Vaughan
American (Traditional),"1118 Centre Street
Vaughan, ON L4J 7R9",1118 Bistro Bar and Grill,(905) 889-4141,,1118bistro.com,https://www.yelp.ca/biz/1118-bistro-bar-and-grill-vaughan,43.810062,-79.462088,Vaughan
Argentine,"205 Marycroft Avenue
Vaughan, ON L4L 5X8",CopaCabana Brazilian Steakhouse,(888) 432-6721,$31-60,thecopa.ca,https://www.yelp.ca/adredir?ad_business_id=yS7331JlJdKlk9VNaSt64w&campaign_id=7SvwXJlQBKWHSzsrt1VxJA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fcopacabana-brazilian-steakhouse-vaughan&request_id=f4439625076390b4&signature=9c1147289a85b76d9cf35614d446e6a4c41bd9409365b9f8d8653e65e784c895&slot=1,43.784379,-79.56579,Vaughan
Argentine,"9000 Weston Road
Unit 7
Vaughan, ON L4L 1A6",La Parrilla,(905) 605-8899,$11-30,,https://www.yelp.ca/biz/la-parrilla-vaughan,43.821237,-79.55595,Vaughan
Argentine,"4000 Steeles Avenue W
Unit 16
Vaughan, ON L4L 4V9",La Empanada Cafe,(905) 605-1810,,laempanadacafe.ca,https://www.yelp.ca/biz/la-empanada-cafe-vaughan,43.769476,-79.55213,Vaughan
Asian Fusion,"100 Steeles Avenue W
Unit 18 & 19
Vaughan, ON L4J 7Y1",MARU HanPan,(905) 597-1549,$11-30,,https://www.yelp.ca/biz/maru-hanpan-vaughan,43.797877,-79.425598,Vaughan
Asian Fusion,"100 Steeles Avenue W
Unit 13
Vaughan, ON L4J 2L1",Iryewon Asian Fusion Restaurant,(905) 731-0500,$11-30,,https://www.yelp.ca/biz/iryewon-asian-fusion-restaurant-vaughan,43.797848,-79.425349,Vaughan
Asian Fusion,"7000 Bathurst Street
Unit C-7
Vaughan, ON L4J 7L1",Sushi Wa,(905) 760-1294,$11-30,,https://www.yelp.ca/biz/sushi-wa-vaughan,43.793073,-79.44645,Vaughan
Asian Fusion,"1520 Steeles Avenue W
Unit 103
Vaughan, ON L4K 3B9",168 Sushi Asian Buffet,(905) 760-1680,$11-30,168sushibuffet.com/vaughan,https://www.yelp.ca/biz/168-sushi-asian-buffet-vaughan,43.78738,-79.471494,Vaughan
Asian Fusion,"3232 Steeles Avenue W
Suite 2
Vaughan, ON L4K 4C8",Chez Toi,(416) 662-2325,,,https://www.yelp.ca/biz/chez-toi-vaughan-2,43.775101,-79.526249,Vaughan
Barbeque,"11-7777 Keele Street
Vaughan, ON L4K 1Y7",Hank Daddy’s Barbecue,(905) 417-4545,$11-30,hankdaddysbbq.com,https://www.yelp.ca/biz/hank-daddys-barbecue-vaughan,43.80047,-79.49934,Vaughan
Barbeque,"688 Chrislea Road
Vaughan, ON L4L 8K9",Fuoco Smokehouse,(905) 851-6880,$11-30,fuocosmokehouse.com,https://www.yelp.ca/biz/fuoco-smokehouse-vaughan,43.80695,-79.547238,Vaughan
Barbeque,"100 Steeles Avenue
Vaughan, ON L4J 7Y1",Kobi Korean BBQ,(905) 597-1548,$11-30,kobikoreanbbq.com,https://www.yelp.ca/biz/kobi-korean-bbq-vaughan,43.797165,-79.424684,Vaughan
Barbeque,"9000 Weston Road
Unit 7
Vaughan, ON L4L 1A6",La Parrilla,(905) 605-8899,$11-30,,https://www.yelp.ca/biz/la-parrilla-vaughan,43.821237,-79.55595,Vaughan
Bistros,"7501 Keele Street
Vaughan, ON L4K 1Y2",Bistro 7501,(905) 597-2757,,bistro7501.com,https://www.yelp.ca/biz/bistro-7501-vaughan,43.795347,-79.497504,Vaughan
Bistros,"2780 Highway 7
Vaughan, ON L4K 3R9",Shtu’s Eatery,(905) 738-3330,,,https://www.yelp.ca/biz/shtus-eatery-vaughan,43.796432,-79.517225,Vaughan
Brazilian,"205 Marycroft Avenue
Vaughan, ON L4L 5X8",CopaCabana Brazilian Steakhouse,(888) 432-6721,$31-60,thecopa.ca,https://www.yelp.ca/adredir?ad_business_id=yS7331JlJdKlk9VNaSt64w&campaign_id=7SvwXJlQBKWHSzsrt1VxJA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fcopacabana-brazilian-steakhouse-vaughan&request_id=3f98d695cab86632&signature=3da043d85145581deb394b246ab1ea8fb1cb15befeaab3191443dba68990d12a&slot=1,43.784379,-79.56579,Vaughan
Brazilian,"205 Marycroft Avenue
Vaughan, ON L4L 5X8",CopaCabana Brazilian Steakhouse,(888) 432-6721,$31-60,thecopa.ca,https://www.yelp.ca/biz/copacabana-brazilian-steakhouse-vaughan,43.784379,-79.56579,Vaughan
Brazilian,"3255 Rutherford Road
Unit 28
Vaughan, ON L4K 5Y5",Miami Beach Grill,(905) 597-7313,$11-30,miamibeachgrill.ca,https://www.yelp.ca/adredir?ad_business_id=a4muB73PIarVnXc8RQongA&campaign_id=UaN5We83QwriCSY-Q-SkNA&click_origin=search_results&placement=below_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fmiami-beach-grill-vaughan&request_id=3f98d695cab86632&signature=49f3466e79ad2af3411ba714e588b24cb50eb514d3aad731d3ed49ce305d312e&slot=0,43.828561,-79.541024,Vaughan
Breakfast & Brunch,"211 Marycroft Avenue
Unit 4
Vaughan, ON L4L 5X8",The Vaughan City Grill,(905) 856-6122,$11-30,thevaughancitygrill.ca,https://www.yelp.ca/biz/the-vaughan-city-grill-vaughan,43.78475,-79.565876,Vaughan
Breakfast & Brunch,"200 Marycroft Avenue
Vaughan, ON L4L 5X9",Jonathan’s Restaurant,(905) 856-0023,Under $10,,https://www.yelp.ca/biz/jonathans-restaurant-vaughan,43.784757,-79.567867,Vaughan
Breakfast & Brunch,"3300 Steeles Avenue W
Vaughan, ON L4K 2Y4",Angelo’s Homestyle Restaurant,(905) 669-4884,,angeloshomestyle.com,https://www.yelp.ca/biz/angelos-homestyle-restaurant-vaughan,43.774724,-79.52949,Vaughan
Breakfast & Brunch,"8010 Bathurst Street
Vaughan, ON L4J",What a Bagel,(905) 707-0044,$11-30,whatabagel.com,https://www.yelp.ca/biz/what-a-bagel-vaughan,43.816778,-79.452392,Vaughan
Breakfast & Brunch,"601 Edgeley Boulevard
Vaughan, ON L4K 4E5",Pippo Trattoria,(905) 660-4441,$11-30,pippo.ca,https://www.yelp.ca/biz/pippo-trattoria-vaughan,43.808498,-79.536514,Vaughan
Breakfast & Brunch,"167 Applewood Crescent
Suite 1
Vaughan, ON L4K 4K7",Diva,(905) 660-3482,$11-30,divavaughan.ca,https://www.yelp.ca/biz/diva-vaughan,43.807967,-79.534175,Vaughan
Breakfast & Brunch,"200 Bass Pro Mills Drive
Vaughan, ON L4K 0B9",Trio Restaurant & Lounge,(905) 695-1735,$11-30,novotel.com/gb/hotel-7157-nov…,https://www.yelp.ca/biz/trio-restaurant-and-lounge-vaughan,43.821713,-79.538922,Vaughan
Breakfast & Brunch,"8611 Weston Rd.
Unit 12
Vaughan, ON L4L 9R4",Rosticceria Dolce E Salato,(905) 856-0431,,dolcesalato.ca,https://www.yelp.ca/biz/rosticceria-dolce-e-salato-vaughan,43.811014,-79.550932,Vaughan
Breakfast & Brunch,"200 Edgeley Boulevard
Vaughan, ON L4K 3Y8",Gordo’s Diner,(905) 738-5003,Under $10,gordosdiner.com,https://www.yelp.ca/biz/gordo-s-diner-vaughan,43.797362,-79.533367,Vaughan
Breakfast & Brunch,"7540 Weston Rd
Vaughan, ON L4L 9L9",Sunset Grill,(905) 264-3773,$11-30,sunsetgrill.ca,https://www.yelp.ca/biz/sunset-grill-vaughan-4,43.786037,-79.547704,Vaughan
Breakfast & Brunch,"180 Steeles Avenue W
Unit 18B
Vaughan, ON L4J 2L1",Eskenita Foods,(905) 886-2402,,,https://www.yelp.ca/biz/eskenita-foods-vaughan,43.797516,-79.426815,Vaughan
Breakfast & Brunch,"7880 Keele Street
Vaughan, ON L4K 4G7",isandwiches,(905) 660-6330,,isandwiches.ca,https://www.yelp.ca/biz/isandwiches-vaughan,43.802198,-79.500871,Vaughan
Breakfast & Brunch,"7501 Keele Street
Vaughan, ON L4K 1Y2",Bistro 7501,(905) 597-2757,,bistro7501.com,https://www.yelp.ca/biz/bistro-7501-vaughan,43.795347,-79.497504,Vaughan
Breakfast & Brunch,"3310 Steeles Avenue W
Vaughan, ON L4K 1A2",Tim Hortons,(905) 760-9639,Under $10,timhortons.ca,https://www.yelp.ca/biz/tim-hortons-vaughan-45,43.774131,-79.530391,Vaughan
Breakfast & Brunch,"1470 Centre Street
Vaughan, ON L4J 3N1",Tim Hortons,(905) 762-9680,Under $10,timhortons.com,https://www.yelp.ca/biz/tim-hortons-vaughan-35,43.806532,-79.474129,Vaughan
Buffets,"1520 Steeles Avenue W
Unit 103
Vaughan, ON L4K 3B9",168 Sushi Asian Buffet,(905) 760-1680,$11-30,168sushibuffet.com/vaughan,https://www.yelp.ca/biz/168-sushi-asian-buffet-vaughan,43.78738,-79.471494,Vaughan
Buffets,"8787 Weston Road
Vaughan, ON L4L 0C3",Mandarin Restaurant - Vaughan,(905) 605-5000,$11-30,mandarinrestaurant.com,https://www.yelp.ca/biz/mandarin-restaurant-vaughan-vaughan,43.814621,-79.553182,Vaughan
Burgers,"7887 Weston Road
Unit 6
Vaughan, ON L4L 1A6",The Burger’s Priest,(905) 856-2662,$11-30,theburgerspriest.com,https://www.yelp.ca/biz/the-burgers-priest-vaughan,43.792231,-79.547511,Vaughan
Burgers,"4421 Highway 7
Vaughan, ON L4L 5W6",Holy Chuck,(905) 851-6363,$11-30,holychuckburgers.com,https://www.yelp.ca/biz/holy-chuck-vaughan,43.784415,-79.568131,Vaughan
Burgers,"7600 Weston Road
Vaughan, ON L4L 3B1",Five Guys,(905) 856-7007,$11-30,fiveguys.com,https://www.yelp.ca/biz/five-guys-vaughan,43.788609,-79.548507,Vaughan
Burgers,"5100 Rutherford Road
Unit 13
Vaughan, ON L4L 8Y2",Kookoos Kitchen,(905) 893-9153,$11-30,captainkookoo.com,https://www.yelp.ca/biz/kookoos-kitchen-vaughan-2,43.816872,-79.601231,Vaughan
Burgers,"7241 Bathurst Street
#6
Vaughan, ON L4J 3W1",Sheli’s,(905) 597-1984,$11-30,shelisbfc.com,https://www.yelp.ca/biz/shelis-vaughan,43.79895,-79.446329,Vaughan
Burgers,"167 Applewood Crescent
Suite 1
Vaughan, ON L4K 4K7",Diva,(905) 660-3482,$11-30,divavaughan.ca,https://www.yelp.ca/biz/diva-vaughan,43.807967,-79.534175,Vaughan
Burgers,"21 Famous Ave
Unit 1A
Vaughan, ON L4L 0B6",Hero Certified Burgers - Colossus,(905) 265-9311,$11-30,heroburgers.com,https://www.yelp.ca/biz/hero-certified-burgers-colossus-vaughan,43.788735,-79.54483,Vaughan
Burgers,"7011 Bathurst Street
Vaughan, ON L4J 2J6",A&W,(289) 843-1076,Under $10,web.aw.ca,https://www.yelp.ca/biz/a-and-w-vaughan,43.793161,-79.445187,Vaughan
Burgers,"10 Colossus Drive
Vaughan, ON L4L 9J5",Jack Astor’s Bar & Grill,(905) 264-3790,$11-30,jackastors.com,https://www.yelp.ca/biz/jack-astors-bar-and-grill-vaughan-2,43.786808,-79.544865,Vaughan
