Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude,City
African,"2007 Laurence Avenue W
York, ON M9N 3V1",New Banadir Restaurant,(416) 242-7058,,,https://www.yelp.ca/biz/new-banadir-restaurant-york,43.700411,-79.509694,York
African,"925 Weston Road
York, ON M6N 3R4",Idlove Restaurant,(416) 242-9679,,idloverestaurant.com,https://www.yelp.ca/biz/idlove-restaurant-york,43.683639,-79.48129,York
American (Traditional),Yorkdale Shopping Centre,The Cheesecake Factory,(416) 781-4477,$11-30,thecheesecakefactory.com,https://www.yelp.ca/biz/the-cheesecake-factory-toronto,43.724684,-79.454173,York
American (Traditional),"3466 Dundas Street W
York, ON M6S 2S1",Pegasus Bar & Grill,(416) 762-2571,Under $10,,https://www.yelp.ca/biz/pegasus-bar-and-grill-york,43.666013,-79.48749,York
Argentine,"2473 Dufferin St
York, ON M6B 3P9",Sky Ranch Restaurant,(416) 787-0491,$11-30,skyranchrestaurant.com,https://www.yelp.ca/biz/sky-ranch-restaurant-york,43.700992,-79.451471,York
Barbeque,"450 Rogers Rd
York, ON M6M 1A6",Portugal Barbecue Chicken,(647) 427-2631,,,https://www.yelp.ca/biz/portugal-barbecue-chicken-york,43.682453,-79.464829,York
Barbeque,"2188 Eglinton Avenue W
York, ON M6E 2L1",Lavrador Bbq,(416) 789-5800,,,https://www.yelp.ca/biz/lavrador-bbq-york,43.693342,-79.461453,York
Barbeque,"761 Jane Street
York, ON M6N 4B4",Dupont Bbq Chicken 2,(416) 762-6501,,,https://www.yelp.ca/biz/dupont-bbq-chicken-2-york,43.671497,-79.493343,York
Barbeque,"1874 Weston Road
York, ON M9N 1W1",Weston Bbq Chicken,(416) 245-9654,,,https://www.yelp.ca/biz/weston-bbq-chicken-york,43.699775,-79.515707,York
Breakfast & Brunch,"973 Eglinton Avenue W
York, ON M6C 2C4",What A Bagel,(416) 789-9428,,,https://www.yelp.ca/biz/what-a-bagel-york,43.699922,-79.429488,York
Burgers,Yorkdale Shopping Centre,Big Smoke Burger,(647) 352-3700,$11-30,bigsmokeburger.com,https://www.yelp.ca/biz/big-smoke-burger-toronto-10,43.726087,-79.453974,York
Burgers,"1661 Eglinton Avenue W
York, ON M6E 2H1",The Wing Machine,(416) 782-5321,,,https://www.yelp.ca/biz/the-wing-machine-york-2,43.69675,-79.445265,York
Burgers,"1391 Weston Road
York, ON M6M 4S3",Westwood Burger Place,(416) 244-7713,,,https://www.yelp.ca/biz/westwood-burger-place-york,43.691314,-79.500912,York
Burgers,"2030 York Regional Rd 7
Vaughan, ON L4K",Harvey’s,(437) 317-1331,,harveys.ca/eng,https://www.yelp.ca/biz/harveys-vaughan-3,43.802542,-79.492329,York
Burgers,"325 Weston Road
York, ON M6N 4Z9",Pro-Eats Burgers & More,(416) 766-9848,,,https://www.yelp.ca/biz/pro-eats-burgers-and-more-york,43.678897,-79.473661,York
Cafes,"440 Rogers Rd
York, ON M6M 1A5",Dynasty Bakery & Cafe,(416) 658-5199,,,https://www.yelp.ca/biz/dynasty-bakery-and-cafe-york,43.68273,-79.464173,York
Cafes,"349 Oakwood Avenue
York, ON M6E 2W1",Caffe Romano,(416) 651-4371,,,https://www.yelp.ca/biz/caffe-romano-york-2,43.686769,-79.438317,York
Cafes,"2700 Dufferin St
York, ON M6B 4J3",Tim Hortons,(416) 256-4813,,,https://www.yelp.ca/biz/tim-hortons-york,43.701751,-79.453212,York
Cafes,"1801 Eglinton Ave W
York, ON M6E 2H8",Tim Hortons,(416) 780-0765,,,https://www.yelp.ca/biz/tim-hortons-york-3,43.69557,-79.448951,York
Cafes,"895 Jane Street
York, ON M6N 4C4",Tim Hortons,(416) 769-1819,Under $10,timhortons.com,https://www.yelp.ca/biz/tim-hortons-york-5,43.67706,-79.495551,York
Canadian (New),Yorkdale Shopping Centre,JOEY,(416) 783-5639,,joeyrestaurants.com,https://www.yelp.ca/biz/joey-toronto,43.72412,-79.453732,York
Canadian (New),"2593 Eglinton Avenue W
York, ON M6M 1T1",Irie Veggie Takeout,(416) 653-4825,,,https://www.yelp.ca/biz/irie-veggie-takeout-york,43.690452,-79.47386,York
Canadian (New),Yorkdale Shopping Centre,Pickle Barrel,(416) 785-8881,$11-30,picklebarrel.ca/restaurant/in…,https://www.yelp.ca/biz/pickle-barrel-toronto-6,43.726197,-79.453889,York
Canadian (New),"1946 Weston Road
York, ON M9N 1W2",Central Bar & Grill,(416) 915-0508,,,https://www.yelp.ca/biz/central-bar-and-grill-york,43.700573,-79.518012,York
Canadian (New),"2011 Lawrence Ave W
York, ON M9N 3V3",Lawrence Park Restaurant,(416) 240-8326,,,https://www.yelp.ca/biz/lawrence-park-restaurant-york,43.700806,-79.511641,York
Caribbean,"1541 Eglinton Avenue W
York, ON M6E 2G7",Raps Authentic Jamaican,(416) 784-0008,$11-30,,https://www.yelp.ca/biz/raps-authentic-jamaican-york,43.697526,-79.441063,York
Caribbean,"1569 Eglinton Avenue West
York, ON M6E 2G9",Randy’s Take-Out,(416) 781-5313,Under $10,randyspatties.com,https://www.yelp.ca/biz/randys-take-out-york-2,43.697241,-79.442459,York
Caribbean,"1688 Eglinton Avenue W
York, ON M6E 2H5",Roti King West Indian Restaurant,(416) 783-5665,Under $10,,https://www.yelp.ca/biz/roti-king-west-indian-restaurant-york,43.696665,-79.445795,York
Caribbean,"1156 Weston Rd
York, ON M6M 4P4",First Class Delites,(416) 240-7810,,,https://www.yelp.ca/biz/first-class-delites-york,43.687119,-79.490113,York
Caribbean,"2517 Eglinton Avenue W
York, ON M6M 1T2",Tinnel’s West Indian Take-Out,(416) 657-0108,Under $10,tinnelspatties.com,https://www.yelp.ca/biz/tinnels-west-indian-take-out-york,43.69095,-79.470965,York
Caribbean,"1710 Jane Street
York, ON M9N 2S4",Lloyd’s Foodmart,(416) 242-2436,,lloydsrestaurant.ca,https://www.yelp.ca/biz/lloyds-foodmart-york,43.703784,-79.504114,York
Caribbean,"2527 Eglington Avenue
York, ON M6M 1T2",Z Bar & Grille,(416) 653-4477,$11-30,,https://www.yelp.ca/biz/z-bar-and-grille-york,43.690807,-79.471289,York
Caribbean,"2180 Av Eglinton O
York, ON M6E 2L1",Jjjs Caribbean Restaurant,(416) 784-0707,,,https://www.yelp.ca/biz/jjjs-caribbean-restaurant-york,43.693405,-79.46122,York
Caribbean,"1806 Av Eglinton O
York, ON M6E 2H6",Shantys Caribbean Take Out,(416) 785-1205,,,https://www.yelp.ca/biz/shantys-caribbean-take-out-york,43.695894,-79.449335,York
Caribbean,"1545 Eglinton Avenue W
York, ON M6E 2G7",Caribbean Dishes,(416) 785-0400,,,https://www.yelp.ca/biz/caribbean-dishes-york,43.697479,-79.441373,York
Caribbean,"1552 Eglinton Avenue W
York, ON M6E 2G8",Mr Jerk,(416) 783-1367,,,https://www.yelp.ca/biz/mr-jerk-york,43.697451,-79.441944,York
Caribbean,"2430 Dufferin Street
York, ON M6E 3T1",Island Roti & Fish,(416) 850-2949,,,https://www.yelp.ca/biz/island-roti-and-fish-york,43.697915,-79.451142,York
Caribbean,"1179 Weston Road
York, ON M6M 4P5",Second Chance Restaurant & Bar,(416) 240-0455,,,https://www.yelp.ca/biz/second-chance-restaurant-and-bar-york,43.687572,-79.490634,York
Caribbean,"1221 Weston Road
York, ON M6M 4P7",Da Mustard Seed Caribbean Cuisine,(416) 235-1406,,,https://www.yelp.ca/biz/da-mustard-seed-caribbean-cuisine-york,43.688247,-79.492424,York
Caribbean,"1822 Jane Street
York, ON M9N 2T3",Di Irie Jerk,(647) 436-5921,,,https://www.yelp.ca/biz/di-irie-jerk-york,43.707321,-79.505291,York
Chicken Wings,"1661 Eglinton Avenue W
York, ON M6E 2H1",The Wing Machine,(416) 782-5321,,,https://www.yelp.ca/biz/the-wing-machine-york-2,43.69675,-79.445265,York
